benchmark,problem,observations,archive_members,occupied_cells,active_effective_axes,collapsed_axes,rf_leaf_archive_unique,branch_archive_unique,wire_density_archive_unique
RTLLM,Prob015_multi_pipe_8bit,6,6,6,3,,4,4,5
RTLLM,Prob024_fsm,18,9,8,3,,5,8,7
RTLLM,Prob041_traffic_light,16,12,11,3,,8,12,10
RTLLM,Prob045_alu,18,14,9,2,source_aligned_rf_timing_leaf_ids,1,14,14
RTLLM,Prob049_signal_generator,37,2,2,3,,2,2,2
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,18,4,4,2,source_aligned_rf_timing_leaf_ids,1,3,4
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,36,3,2,2,source_aligned_rf_timing_leaf_ids,1,3,2
VerilogEval-Spec-to-RTL,Prob153_gshare,11,10,9,3,,7,9,8
