metric,classic_revolution_8x5,rf_leafid_structural_delayed_8x5,absolute_delta,relative_delta
mean_hypervolume,0.14064478406,0.136941033789,-0.00370375027089,-0.0263340748514
mean_pareto_points,3.25,2,-1.25,-0.384615384615
mean_ref_beating,8,4.5,-3.5,-0.4375
hv_wins,5,3,-2,-0.4
