benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,final_coverage,final_qd_score
RTLLM,Prob004_adder_8bit,0.6041666666666666,0.5833333333333334,0.38154412826809186,716.6967158317566,,
RTLLM,Prob015_multi_pipe_8bit,0.2708333333333333,0.2708333333333333,0.13523010594862098,1055.4246017932892,,
RTLLM,Prob024_fsm,0.3958333333333333,0.3333333333333333,0.5002335522886039,793.0398881435394,,
RTLLM,Prob037_parallel2serial,0.4375,0.375,0.08458997628975556,973.4737317562103,,
RTLLM,Prob041_traffic_light,0.4375,0.4166666666666667,0.41677862503025903,1073.815232515335,,
RTLLM,Prob045_alu,0.22916666666666666,0.20833333333333334,0.39459576844733557,1086.16388463974,,
RTLLM,Prob049_signal_generator,0.3541666666666667,0.3541666666666667,0.23477469440256318,623.4530344009399,,
VerilogEval-Spec-to-RTL,Prob098_circuit7,0.7083333333333334,0.7083333333333334,0.01200564971751411,1094.58634018898,,
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.5833333333333334,0.5833333333333334,0.46440414507772027,1336.204946756363,,
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.7708333333333334,0.7708333333333334,0.2636173393124066,1119.4714574813843,,
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.4375,0.4375,0.32968627450980387,1038.766685962677,,
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.041666666666666664,0.041666666666666664,-0.3630480257997037,1216.898421049118,,
VerilogEval-Spec-to-RTL,Prob153_gshare,0.2708333333333333,0.2708333333333333,0.10864727995578838,762.3643352985382,,
