benchmark,problem,classic_valid_ppa_count,qd_valid_ppa_count,reference_ppa_valid,comparison_status
RTLLM,Prob004_adder_8bit,28,36,yes,headline
RTLLM,Prob015_multi_pipe_8bit,13,15,yes,headline
RTLLM,Prob024_fsm,16,20,yes,headline
RTLLM,Prob037_parallel2serial,18,12,yes,headline
RTLLM,Prob041_traffic_light,20,17,yes,headline
RTLLM,Prob045_alu,10,17,yes,headline
RTLLM,Prob049_signal_generator,17,46,yes,headline
VerilogEval-Spec-to-RTL,Prob098_circuit7,34,17,yes,headline
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,28,15,yes,headline
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,37,16,yes,headline
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,21,15,yes,headline
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,2,1,yes,headline
VerilogEval-Spec-to-RTL,Prob153_gshare,13,10,yes,headline
