benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,final_coverage,final_qd_score
RTLLM,Prob004_adder_8bit,0.7083333333333334,0.7083333333333334,0.38154412826809186,541.8025517463684,0.5,0.38154412826809186
RTLLM,Prob015_multi_pipe_8bit,0.2708333333333333,0.2708333333333333,0.05279453299055512,1017.0008335113525,0.3125,0.004687665712164675
RTLLM,Prob024_fsm,0.5625,0.5208333333333334,0.5002335522886039,897.7269077301025,0.375,2.2880127202585756
RTLLM,Prob037_parallel2serial,0.3541666666666667,0.3541666666666667,0.03256479437494896,1230.4777448177338,0.25,0.051577140053961315
RTLLM,Prob041_traffic_light,0.5,0.5,0.4077420721374969,1147.8014953136444,0.5,1.967246429435972
RTLLM,Prob045_alu,0.3958333333333333,0.3958333333333333,0.4030977725211906,1149.2006981372833,0.4375,2.6968352059925094
RTLLM,Prob049_signal_generator,0.7916666666666666,0.7916666666666666,0.23477469440256318,634.8927752971649,0.75,0.7043240832076896
VerilogEval-Spec-to-RTL,Prob098_circuit7,0.3333333333333333,0.3333333333333333,0.01200564971751411,1367.410772562027,1.0,0.01200564971751411
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.375,0.375,0.46535233160621764,1422.641426563263,1.0,0.46535233160621764
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.5208333333333334,0.5208333333333334,0.2636173393124066,1124.0134751796722,1.0,0.2636173393124066
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.125,0.125,0.32968627450980387,1182.2052915096283,1.0,0.32968627450980387
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.0625,0.0625,,1226.2922229766846,0.0,0.0
VerilogEval-Spec-to-RTL,Prob153_gshare,0.4166666666666667,0.3958333333333333,0.13560291914358902,1121.8074147701263,0.5,0.3873462311906247
