feature,source,group,view,contrastive_score,selected_top16,selected_top32,selected_top64
hyper_mean_fanout,mean_fanout,hypergraph,graph,1.3158115908944694,True,True,True
edge_per_node,edge_count/node_count,graph_ratio,implementation,1.3095108231807306,True,True,True
log_edge_count,edge_count,graph_count,implementation,1.3043916423490485,True,True,True
hyper_directed_edge_count,directed_edge_count,hypergraph,graph,1.3039630009783147,True,True,True
hyper_fanout_entropy,fanout_entropy,hypergraph,graph,1.2973974991711408,True,True,True
hyper_driven_net_count,driven_net_count,hypergraph,graph,1.2952605414329583,True,True,True
hyper_sink_net_count,sink_net_count,hypergraph,graph,1.292252527260369,True,True,True
log_net_count,net_count,graph_count,implementation,1.292100086100521,True,True,True
hyper_net_count,net_count,hypergraph,graph,1.292100086100521,True,True,True
hyper_cell_count,cell_count,hypergraph,graph,1.2909025362867235,True,True,True
log_node_count,node_count,graph_count,implementation,1.2909025362867235,True,True,True
hyper_max_fanout,max_fanout,hypergraph,graph,1.2567312039831622,True,True,True
hyper_max_level,max_level,hypergraph,graph,1.2358764208983999,True,True,True
log_max_level,max_level,graph_count,implementation,1.2339245973741797,True,True,True
hyper_max_level_delta,max_level_delta,hypergraph,graph,1.1877698291598293,True,True,True
share_family_inv,family_inv,cell_family_share,implementation,1.1866733789214434,True,True,True
hyper_unresolved_cycle_nodes,unresolved_cycle_nodes,hypergraph,graph,1.1382920562260874,False,True,True
log_unresolved_cycle_nodes,unresolved_cycle_nodes,graph_count,implementation,1.1374335099451287,False,True,True
unresolved_cycle_share,unresolved_cycle_nodes/node_count,graph_ratio,implementation,1.128796472604117,False,True,True
share_family_nand,family_nand,cell_family_share,implementation,1.1225355959896328,False,True,True
net_per_node,net_count/node_count,graph_ratio,implementation,1.1225040194896037,False,True,True
share_family_dff,family_dff,cell_family_share,implementation,1.0783402412616254,False,True,True
share_family_oai,family_oai,cell_family_share,implementation,1.0534947430353934,False,True,True
share_family_aoi,family_aoi,cell_family_share,implementation,1.0160000967899074,False,True,True
share_family_add,family_add,cell_family_share,implementation,1.0,False,True,True
hyper_multi_driver_net_count,multi_driver_net_count,hypergraph,graph,0.9910167638761983,False,True,True
share_family_nor,family_nor,cell_family_share,implementation,0.8972402066412819,False,True,True
hyper_long_range_edge_share,long_range_edge_share,hypergraph,graph,0.8905744348526947,False,True,True
share_family_buf,family_buf,cell_family_share,implementation,0.8692632526203339,False,True,True
share_family_and,family_and,cell_family_share,implementation,0.8306357038548388,False,True,True
share_family_mux,family_mux,cell_family_share,implementation,0.7820122429375738,False,True,True
share_family_xor,family_xor,cell_family_share,implementation,0.5693465198863402,False,True,True
share_family_xnor,family_xnor,cell_family_share,implementation,0.5544720544746581,False,False,True
share_family_or,family_or,cell_family_share,implementation,0.4976837882497717,False,False,True
share_family_other,family_other,cell_family_share,implementation,0.4060601862048754,False,False,True
log_rtl_ternary_count,rtl_ternary_count,rtl_count,implementation,8.776067290239253e-08,False,False,True
log_rtl_mul_count,rtl_mul_count,rtl_count,implementation,2.0550520741535297e-08,False,False,True
log_rtl_blocking_count,rtl_blocking_count,rtl_count,implementation,1.4356296783033624e-08,False,False,True
log_rtl_assign_count,rtl_assign_count,rtl_count,implementation,8.884971707330856e-09,False,False,True
log_rtl_add_count,rtl_add_count,rtl_count,implementation,5.893828885470176e-09,False,False,True
log_rtl_always_count,rtl_always_count,rtl_count,implementation,5.675353736737969e-09,False,False,True
log_rtl_reg_count,rtl_reg_count,rtl_count,implementation,5.628400451788221e-09,False,False,True
log_rtl_if_count,rtl_if_count,rtl_count,implementation,4.853271554028609e-09,False,False,True
log_rtl_nonblocking_count,rtl_nonblocking_count,rtl_count,implementation,4.315535629270998e-09,False,False,True
log_rtl_wire_count,rtl_wire_count,rtl_count,implementation,2.58040760371877e-09,False,False,True
log_rtl_line_count,rtl_line_count,rtl_count,implementation,2.4932388839515182e-09,False,False,True
log_rtl_comment_count,rtl_comment_count,rtl_count,implementation,2.2367985898832746e-09,False,False,True
log_rtl_case_count,rtl_case_count,rtl_count,implementation,1.479069282497672e-09,False,False,True
share_family_latch,family_latch,cell_family_share,implementation,0.0,False,False,True
