representation,problem_group_count,valid_ppa_count,selected_count,baseline_hypervolume,selected_hypervolume,baseline_pareto_size,selected_pareto_size,baseline_best_fitness,selected_best_fitness,unique_canonical_netlists,unique_motif_signatures,vs_lexical_hv_gain_fraction,vs_lexical_pareto_gain_fraction
fitness_top,114,682,341,3.864198082956659,3.8232476279516034,553,300,0.7498077353006931,0.7498077353006931,52,44,0.03280031397178676,0.06007067137809187
generation_prefix,114,682,341,3.864198082956659,3.1551856809847187,553,303,0.7498077353006931,0.6950547730829421,50,45,-0.14766787844547294,0.0706713780918728
lexical_farthest,114,682,341,3.864198082956659,3.701826554688716,553,283,0.7498077353006931,0.6881421864520456,60,54,0.0,0.0
random,114,682,341,3.864198082956659,3.0741669813303787,553,303,0.7498077353006931,0.6950547730829421,59,50,-0.16955401991034577,0.0706713780918728
t14_hyper_combo_farthest,114,682,341,3.864198082956659,3.6240540377492794,553,289,0.7498077353006931,0.7498077353006931,57,55,-0.021009227685432817,0.02120141342756184
t14_hyper_hash_farthest,114,682,341,3.864198082956659,3.6240540377492794,553,289,0.7498077353006931,0.7498077353006931,57,55,-0.021009227685432817,0.02120141342756184
t14_hyper_impl_combo_farthest,114,682,341,3.864198082956659,3.7392359926364973,553,285,0.7498077353006931,0.7498077353006931,59,55,0.010105670105045516,0.007067137809187279
t14_hyper_stats_farthest,114,682,341,3.864198082956659,3.6144980366779813,553,287,0.7498077353006931,0.7498077353006931,57,55,-0.02359065632076271,0.014134275618374558
