benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,valid_ppa_yield_status,reference_missing_reason
RTLLM,Prob019_sub_64bit,yes,yes,yes,headline,42,41,pass,
RTLLM,Prob036_edge_detect,yes,yes,yes,headline,31,38,pass,
RTLLM,Prob045_alu,yes,yes,yes,headline,30,36,pass,
