benchmark,problem,classic_hv,t96_hv,hv_delta,classic_pareto_points,t96_pareto_points,classic_ref_beating,t96_ref_beating,read
RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0,8,2,0,0,tie
RTLLM,Prob024_fsm,0.14472943384422896,0.14588676884579288,0.00115733500156,2,2,3,6,t96_win
RTLLM,Prob041_traffic_light,0.31010021786492376,0.2447777777777778,-0.0653224400871,2,2,12,14,classic_win
RTLLM,Prob045_alu,0.25235639266706095,0.15855209934949732,-0.0938042933176,4,2,34,11,classic_win
RTLLM,Prob049_signal_generator,0.019198840440895218,0.00997131828859078,-0.0092275221523,2,2,4,2,classic_win
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0,1,1,6,5,tie
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0,1,1,1,0,tie
VerilogEval-Spec-to-RTL,Prob153_gshare,0.00035058973340645937,0.0017609067584520067,0.00141031702505,6,1,4,5,t96_win
