mode,cell,count
static_cell,0:0:0,9
static_cell,0:0:1,4
static_cell,0:1:0,4
static_cell,0:2:0,2
quantile_cell,0:0:3,3
quantile_cell,0:1:2,1
quantile_cell,0:2:1,1
quantile_cell,1:1:0,1
quantile_cell,1:1:2,1
quantile_cell,1:1:3,1
quantile_cell,1:2:1,1
quantile_cell,1:2:2,1
quantile_cell,2:0:0,2
quantile_cell,2:1:2,1
quantile_cell,2:2:1,1
quantile_cell,2:3:2,1
quantile_cell,3:2:1,1
quantile_cell,3:3:0,2
quantile_cell,3:3:1,1
