corpus,method,seed,problem_id,representation,valid_ppa_count,selected_count,baseline_hypervolume,selected_hypervolume,baseline_pareto_size,selected_pareto_size,baseline_best_fitness,selected_best_fitness,unique_canonical_netlists,unique_motif_signatures
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,t07_graph_wl_farthest,6,3,0.04095045500505561,0.04095045500505561,5,2,0.2106384515383504,0.2106384515383504,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,t07_graph_stats_farthest,6,3,0.04095045500505561,0.04095045500505561,5,2,0.2106384515383504,0.2106384515383504,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,t07_graph_combo_farthest,6,3,0.04095045500505561,0.04095045500505561,5,2,0.2106384515383504,0.2106384515383504,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,generation_prefix,6,3,0.0,0.0,5,2,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,random,6,3,0.0,0.0,5,3,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,fitness_top,6,3,0.0,0.0,5,3,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,lexical_farthest,6,3,0.0,0.0,5,2,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,t07_graph_wl_farthest,6,3,0.0,0.0,5,2,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,t07_graph_stats_farthest,6,3,0.0,0.0,5,2,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,t07_graph_combo_farthest,6,3,0.0,0.0,5,2,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,generation_prefix,6,3,0.0,0.0,1,1,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,random,6,3,0.0,0.0,1,3,-0.0,-0.4868681417521137,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,fitness_top,6,3,0.0,0.0,1,1,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,lexical_farthest,6,3,0.0,0.0,1,1,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,t07_graph_wl_farthest,6,3,0.0,0.0,1,1,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,t07_graph_stats_farthest,6,3,0.0,0.0,1,1,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,t07_graph_combo_farthest,6,3,0.0,0.0,1,1,-0.0,-0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,generation_prefix,6,3,0.09545454545454547,0.0,1,3,0.3090151515151516,0.0898484848484848,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,random,6,3,0.09545454545454547,0.0,1,3,0.3090151515151516,0.0898484848484848,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,fitness_top,6,3,0.09545454545454547,0.09545454545454547,1,1,0.3090151515151516,0.3090151515151516,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,lexical_farthest,6,3,0.09545454545454547,0.09545454545454547,1,1,0.3090151515151516,0.3090151515151516,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,t07_graph_wl_farthest,6,3,0.09545454545454547,0.09545454545454547,1,1,0.3090151515151516,0.3090151515151516,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,t07_graph_stats_farthest,6,3,0.09545454545454547,0.09545454545454547,1,1,0.3090151515151516,0.3090151515151516,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,t07_graph_combo_farthest,6,3,0.09545454545454547,0.09545454545454547,1,1,0.3090151515151516,0.3090151515151516,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,generation_prefix,6,3,0.5622111930844326,0.48247887323943656,1,1,0.7498077353006931,0.6950547730829421,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,random,6,3,0.5622111930844326,0.48247887323943656,1,1,0.7498077353006931,0.6950547730829421,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,fitness_top,6,3,0.5622111930844326,0.5622111930844326,1,1,0.7498077353006931,0.7498077353006931,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,lexical_farthest,6,3,0.5622111930844326,0.472752962217751,1,1,0.7498077353006931,0.6881421864520456,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,t07_graph_wl_farthest,6,3,0.5622111930844326,0.5622111930844326,1,1,0.7498077353006931,0.7498077353006931,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,t07_graph_stats_farthest,6,3,0.5622111930844326,0.5622111930844326,1,1,0.7498077353006931,0.7498077353006931,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,t07_graph_combo_farthest,6,3,0.5622111930844326,0.5622111930844326,1,1,0.7498077353006931,0.7498077353006931,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,generation_prefix,6,3,0.0,0.0,5,3,0.058935413245758,0.058935413245758,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,random,6,3,0.0,0.0,5,2,0.058935413245758,0.058935413245758,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,fitness_top,6,3,0.0,0.0,5,3,0.058935413245758,0.058935413245758,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,lexical_farthest,6,3,0.0,0.0,5,2,0.058935413245758,-0.004307464062455,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,t07_graph_wl_farthest,6,3,0.0,0.0,5,3,0.058935413245758,0.058935413245758,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,t07_graph_stats_farthest,6,3,0.0,0.0,5,2,0.058935413245758,0.058935413245758,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,t07_graph_combo_farthest,6,3,0.0,0.0,5,3,0.058935413245758,0.058935413245758,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,generation_prefix,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,random,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,fitness_top,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,lexical_farthest,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,t07_graph_wl_farthest,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,t07_graph_stats_farthest,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,t07_graph_combo_farthest,6,3,0.0,0.0,6,3,-0.0344414228793915,-0.0344414228793915,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,generation_prefix,6,3,0.0046296296296296285,0.0046296296296296285,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,random,6,3,0.0046296296296296285,0.004629629629629629,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,fitness_top,6,3,0.0046296296296296285,0.0046296296296296285,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,lexical_farthest,6,3,0.0046296296296296285,0.0046296296296296285,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,t07_graph_wl_farthest,6,3,0.0046296296296296285,0.0046296296296296285,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,t07_graph_stats_farthest,6,3,0.0046296296296296285,0.0046296296296296285,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,t07_graph_combo_farthest,6,3,0.0046296296296296285,0.0046296296296296285,6,3,0.0,0.0,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob015_multi_pipe_8bit,generation_prefix,6,3,0.0,0.0,3,2,0.0404404751742622,0.0404404751742622,0,0
aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob015_multi_pipe_8bit,random,6,3,0.0,0.0,3,2,0.0404404751742622,-0.0663327757090124,0,0
