circuit_type,problem,hv_seed1001,hv_seed1002,hv_seed1003,hv_seed1004,hv_seed1005,positive_seed_count,hv_sample_sd,selected
combinational,Prob024_fsm,0.340631842352,0.265248670629,0.145573975602,0.340631842352,0.340631842352,5,0.085297307844,true
combinational,Prob002_adder_16bit,0.064594295209,0.205114234284,0.205114234284,0.205114234284,0.205114234284,5,0.062842427193,true
combinational,Prob045_alu,0.233156574019,0.239413968066,0.242488941454,0.334331866745,0.241627510349,5,0.042713095233,true
combinational,Prob041_traffic_light,0.336544480755,0.332617283951,0.425904139434,0.378858024691,0.354113471314,5,0.038328798799,true
combinational,Prob019_sub_64bit,0.449958921564,0.366057017338,0.449936955740,0.449936955740,0.449947938652,5,0.037515933729,false
combinational,Prob031_freq_div,0.083552906110,0.083552906110,0.017931445604,0.017931445604,0.090515648286,5,0.037321975317,false
combinational,Prob007_comparator_3bit,0.058316843557,0.000000000000,0.058316843557,0.058316843557,0.058316843557,4,0.026080085285,false
combinational,Prob008_comparator_4bit,0.331250000000,0.361618181818,0.361618181818,0.331250000000,0.361618181818,5,0.016633338212,false
combinational,Prob009_div_16bit,0.710191400253,0.710264088233,0.718685073403,0.713778612416,0.713964989940,5,0.003482848447,false
combinational,Prob005_adder_bcd,0.198189845475,0.198189845475,0.198189845475,0.198189845475,0.198292862399,5,0.000046070569,false
combinational,Prob012_multi_8bit,0.386568545760,0.386568545760,0.386568545760,0.386568545760,0.386568545760,5,0.000000000000,false
combinational,Prob004_adder_8bit,0.151026289181,0.151026289181,0.151026289181,0.151026289181,0.151026289181,5,0.000000000000,false
combinational,Prob003_adder_32bit,0.674459752503,0.674459752503,0.674459752503,0.674459752503,0.674459752503,5,0.000000000000,false
sequential,Prob036_edge_detect,0.894714497354,0.355889724311,0.355889724311,0.355889724311,0.355889724311,5,0.240969764097,true
sequential,Prob025_sequence_detector,0.043389639318,0.014135991090,0.043389639318,0.043389639318,0.043389639318,5,0.013082629206,true
sequential,Prob043_RAM,0.091193966904,0.093150755629,0.088806887871,0.073098711145,0.088806887871,5,0.007987427903,true
sequential,Prob027_LIFObuffer,0.016019987069,0.001620971441,0.008876046647,0.014947526166,0.008613457460,5,0.005790313765,true
sequential,Prob011_multi_16bit,0.008605093013,0.004529327990,0.000000000000,0.000000000000,0.003339842062,3,0.003585969677,false
sequential,Prob049_signal_generator,0.016980166496,0.020343142189,0.016980166496,0.013668048658,0.018626689567,5,0.002470553982,false
sequential,Prob050_square_wave,0.004018142522,0.002795151728,0.005697024175,0.000915004826,0.001422644489,5,0.001948278018,false
sequential,Prob037_parallel2serial,0.000206033848,0.000000000000,0.000206033848,0.000206033848,0.000206033848,4,0.000092141138,false
sequential,Prob038_pulse_detect,0.021028701336,0.021028701336,0.021028701336,0.021028701336,0.021028701336,5,0.000000000000,false
