method,problem,qd_memory_active,qd_memory_valid_ppa_seen,sampleable_memory_cells,mean_cell_credit,classic_generated,memory_refine_generated,memory_refine_valid_ppa,memory_refine_global_front_adds,memory_refine_local_front_adds
pcn_v3_rf_stagnation_memory_8x5,Prob019_sub_64bit,true,45,2,0.273652831669,7,1,1,0,0
pcn_v3_random_stagnation_memory_8x5,Prob019_sub_64bit,true,44,6,0.301968835893,7,1,1,0,0
pcn_v2_passive_eoh_archive_8x5,Prob019_sub_64bit,false,42,0,0.302121496449,8,0,0,0,0
pcn_v3_rf_stagnation_memory_8x5,Prob036_edge_detect,true,34,5,0.285228268504,7,1,1,0,0
pcn_v3_random_stagnation_memory_8x5,Prob036_edge_detect,true,31,7,0.290552612451,7,1,0,0,0
pcn_v2_passive_eoh_archive_8x5,Prob036_edge_detect,false,28,0,0.271423339844,8,0,0,0,0
pcn_v3_rf_stagnation_memory_8x5,Prob045_alu,true,34,4,0.31172264408,7,1,1,0,0
pcn_v3_random_stagnation_memory_8x5,Prob045_alu,false,34,0,0.344897460937,8,0,0,0,0
pcn_v2_passive_eoh_archive_8x5,Prob045_alu,false,40,0,0.33797918233,8,0,0,0,0
