method,family,budget,covered_problem_count,headline_problem_count,mean_hv,mean_hv_auc,mean_valid_ppa_count,mean_pareto_point_count,classic_delta_mean_hv,classic_delta_mean_hv_auc,mean_hv_retention_pct
classic_revolution_8x5,classic,8x5_v3,3,3,0.347074432479,0.313970585453,15,1,7.93809462607e-15,2.4930058018e-13,100
pcn_v3_rf_stagnation_memory_8x5,pcn_main,8x5_v3,3,3,0.343224387971,0.313096656966,16.3333333333,1.66666666667,-0.00385004450833,-0.000873928486417,98.8907150317
pcn_v2_passive_eoh_archive_8x5,pcn_control,8x5_v3,3,3,0.341568745924,0.307995408489,20,1.33333333333,-0.00550568655533,-0.00597517696375,98.4136870826
pcn_v3_random_stagnation_memory_8x5,pcn_control,8x5_v3,3,3,0.337845649794,0.305748144937,15,1.66666666667,-0.00922878268533,-0.00822244051608,97.3409788156
