generation,problem_count,functionality_mean,synthesis_mean,best_score_mean,average_score_mean,diff_success_rate_mean,coverage_mean,qd_score_mean,best_quality_mean,new_filled_cells_mean,replaced_cells_mean
0,13,0.3205128205128205,0.2948717948717949,0.20463617600172476,0.1709750306238601,,0.08493589743589744,0.20039479876458663,0.22983049393276972,1.0769230769230769,0.0
1,13,0.4294871794871795,0.4166666666666667,0.25564890375433996,0.20827656316619483,,0.17147435897435898,0.4252518600455601,0.20422237159672402,0.8461538461538461,0.3076923076923077
2,13,0.46794871794871795,0.4551282051282051,0.24636607125821003,0.19053002359844495,,0.23397435897435898,0.5649044118214893,0.2460321419448641,0.6153846153846154,0.5384615384615384
3,13,0.5,0.5,0.21379616935992127,0.15894655953765743,,0.2548076923076923,0.6364440821622709,0.2732683603809282,0.3076923076923077,0.6153846153846154
4,0,,,,,,1.0,0.3785824934618634,0.2846726157008381,1.6,0.2
