benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,final_coverage,final_qd_score
RTLLM,Prob004_adder_8bit,0.7291666666666666,0.7291666666666666,0.38154412826809186,535.2079863548279,1.0,0.38154412826809186
RTLLM,Prob015_multi_pipe_8bit,0.4375,0.4166666666666667,0.24344806204300395,937.8408811092377,0.5,0.13351676919341823
RTLLM,Prob024_fsm,0.4791666666666667,0.3958333333333333,0.4700708998018976,887.515781879425,0.5,1.205179856115108
RTLLM,Prob037_parallel2serial,0.4583333333333333,0.4375,-0.0,1010.8741111755371,0.3333333333333333,-0.010597661679339378
RTLLM,Prob041_traffic_light,0.5208333333333334,0.5,0.39933732752360207,1270.297027349472,0.6875,2.340438755749213
RTLLM,Prob045_alu,0.4166666666666667,0.4166666666666667,0.39330146527367105,1152.704514503479,0.6666666666666666,3.0760477363821543
RTLLM,Prob049_signal_generator,0.7083333333333334,0.7083333333333334,0.23477469440256318,672.9410033226013,1.0,0.7043240832076896
VerilogEval-Spec-to-RTL,Prob098_circuit7,0.1875,0.1875,0.01200564971751411,1460.9463398456573,1.0,0.01200564971751411
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.25,0.25,0.46535233160621764,1398.5771510601044,1.0,0.46535233160621764
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.6666666666666666,0.6666666666666666,0.2636173393124066,1186.7816920280457,0.25,1.0539760837070256
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.2916666666666667,0.2916666666666667,0.32968627450980387,1106.0425860881805,1.0,0.32968627450980387
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.041666666666666664,0.020833333333333332,,1280.6718344688416,0.0,0.0
VerilogEval-Spec-to-RTL,Prob153_gshare,0.3958333333333333,0.3958333333333333,0.1431034287119163,1152.4010169506073,0.375,0.4752115286419426
