benchmark,problem,circuit_type,ref_area,ref_power,ref_eff_clk_period,summary_path
RTLLM,Prob015_multi_pipe_8bit,sequential,980.000000,0.089800,0.820000,
RTLLM,Prob041_traffic_light,combinational,170.000000,0.032400,0.000000,
RTLLM,Prob045_alu,combinational,2225.000000,0.114000,0.000000,
