backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,3,17,8,0.0,0,0.3877551020408163,0.6024498886414253,0.39024390243902446,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
smooth_qd_v2_8x5,RTLLM,Prob015_multi_pipe_8bit,3,7,5,0.0,0,0.37142857142857144,0.45768374164810693,0.4146341463414635,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
front_slot_lane_030,RTLLM,Prob015_multi_pipe_8bit,3,14,8,0.0,0,0.3877551020408163,0.3964365256124722,0.3536585365853659,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_8x5,RTLLM,Prob024_fsm,2,6,1,0.2652486706287143,5,0.43478260869565216,0.610071942446043,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob024_fsm
smooth_qd_v2_8x5,RTLLM,Prob024_fsm,2,7,2,0.14588676884579288,5,0.3695652173913043,0.46762589928057546,0.0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob024_fsm
front_slot_lane_030,RTLLM,Prob024_fsm,2,4,2,0.14472943384422896,2,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic_revolution_8x5,RTLLM,Prob041_traffic_light,2,23,5,0.18504212055192448,19,0.3411764705882353,0.9832098765432098,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
smooth_qd_v2_8x5,RTLLM,Prob041_traffic_light,2,17,3,0.36610493827160495,14,0.3941176470588235,0.9914814814814815,0.0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
front_slot_lane_030,RTLLM,Prob041_traffic_light,2,26,2,0.3034270152505447,19,0.3058823529411765,0.992037037037037,0.0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic_revolution_8x5,RTLLM,Prob045_alu,2,24,2,0.1997569051843091,24,0.20134831460674157,0.9921140350877193,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob045_alu
