method,method_label,benchmark,problem,candidate_id,generation,is_front,line_count,operator_pressure_score,timing_risk_score,control_pipeline_ratio,pipeline_event_count,control_count,timing_risk_entropy,unique_identifier_count,timing_risk_cell,operator_timing_cell,control_pipeline_cell,code_file_path
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob015_multi_pipe_8bit,c96e33e7-6b0f-43ec-991d-97bdecb00e92,1,false,32.000000,17.000000,19.400000,0.266667,14.000000,3.000000,1.582877,18.000000,"1,0","0,0","0,0",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample12_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob015_multi_pipe_8bit,f89e9557-4d8c-4d82-a281-934a80d5db57,1,false,55.000000,20.000000,20.750000,0.222222,17.000000,3.000000,1.461301,21.000000,"0,1","1,1","0,1",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample8_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob015_multi_pipe_8bit,8a605a2e-cc43-402f-a18d-cd00ce07504a,0,false,66.000000,25.000000,42.500000,0.400000,14.000000,5.000000,1.946083,29.000000,"3,1","1,1","1,0",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample10_initial/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob015_multi_pipe_8bit,fd3d462a-2172-4d88-968b-8f2111a2b02f,0,false,91.000000,25.000000,45.650000,0.608696,22.000000,13.000000,1.903138,35.000000,"3,2","1,2","3,2",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample3_initial/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob015_multi_pipe_8bit,484c862b-b974-41c4-93cb-8111eb3b25fc,1,false,47.000000,19.000000,20.250000,0.235294,16.000000,3.000000,1.494540,18.000000,"0,0","1,0","0,1",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample7_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob015_multi_pipe_8bit,de78fcea-4eb0-4e4d-b989-bda39763641c,2,false,46.000000,17.000000,19.700000,0.266667,14.000000,3.000000,1.594361,18.000000,"1,0","0,0","0,0",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample12_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob015_multi_pipe_8bit,5766de21-9e43-4e54-9e3d-2a18a81a777a,3,false,47.000000,19.000000,20.250000,0.235294,16.000000,3.000000,1.494540,18.000000,"0,0","1,0","0,1",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample7_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob015_multi_pipe_8bit,d3f1ae77-3f98-46e2-8d79-5bd27553c3ee,3,true,39.000000,17.000000,19.550000,0.266667,14.000000,3.000000,1.592000,18.000000,"1,0","0,0","0,0",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/Prob015_multi_pipe_8bit_sample12_single_thought_operator/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,05cbedcd-558f-4cbc-ae71-0203936083ae,0,false,31.000000,11.000000,19.500000,0.800000,9.000000,7.000000,1.743872,19.000000,"0,1","3,1","0,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/Prob024_fsm_sample7_initial/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,2a6ebec4-843b-4ba4-8964-3f813c654bc9,0,false,61.000000,5.000000,17.600000,1.600000,4.000000,7.000000,1.461860,25.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/Prob024_fsm_sample5_initial/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,a99cb40b-551c-4d41-86d4-a1e18323256a,0,true,71.000000,5.000000,17.600000,1.600000,4.000000,7.000000,1.461860,25.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/Prob024_fsm_sample9_initial/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,2e7a6d2c-e279-4612-aa04-934149300424,1,false,56.000000,14.000000,34.450000,2.000000,4.000000,9.000000,1.829143,22.000000,"2,3","3,3","3,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample3_M-F/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,5a1b40c6-2095-4852-a3ba-634580950d19,1,false,59.000000,5.000000,17.600000,1.600000,4.000000,7.000000,1.461860,22.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample8_M-I/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,981f4748-771b-436c-9b20-d7b046746743,1,false,36.000000,12.000000,26.700000,1.600000,4.000000,7.000000,1.992014,20.000000,"0,3","3,3","0,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample4_M-I/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,8c00d806-4dce-4b9e-b403-994e478d5e99,2,true,51.000000,9.000000,23.100000,2.000000,3.000000,7.000000,1.711619,19.000000,"2,3","1,3","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen2/Prob024_fsm_sample2_M-F/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,a62c031e-25bc-47b9-9971-bc85428aa976,2,false,35.000000,8.000000,21.350000,2.000000,3.000000,7.000000,1.812888,20.000000,"2,1","1,1","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen2/Prob024_fsm_sample11_M-R/code.sv
