method,method_label,source_run_root,mode
classic_revolution,Classic,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,classic_revolution/seed_1001/openai_gpt-oss-120b
manual_sparse_pareto_qd,Manual BD,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,manual_sparse_pareto_qd/seed_1001/openai_gpt-oss-120b
random_sparse_elite_slot_qd,Random one-slot,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,random_sparse_elite_slot_qd/seed_1001/openai_gpt-oss-120b
graph_full_pareto_sparse_qd,Graph full Pareto,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,graph_full_pareto_sparse_qd/seed_1001/openai_gpt-oss-120b
t39_sparse_warmup_elite_slot_qd,T39 one-slot,exp/useful_bd_push/t39_sparse_yield_warmup_qd_20260622_062937_UTC,sparse_warmup_elite_slot_qd/seed_1001/openai_gpt-oss-120b
