problem,profile,method,front_cell_delta,occupied_cell_delta
Prob001_accu,operator_timing,sr_raw_conservative_exploit_qd,-1.000000,2.000000
Prob001_accu,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,4.000000
Prob001_accu,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,3.000000
Prob002_adder_16bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob002_adder_16bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob002_adder_16bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob003_adder_32bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-3.000000
Prob003_adder_32bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob003_adder_32bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-4.000000
Prob004_adder_8bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob004_adder_8bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob004_adder_8bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,2.000000
Prob005_adder_bcd,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob005_adder_bcd,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob005_adder_bcd,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob007_comparator_3bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-3.000000
Prob007_comparator_3bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob007_comparator_3bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-4.000000
Prob008_comparator_4bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,4.000000
Prob008_comparator_4bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob008_comparator_4bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,3.000000
Prob009_div_16bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-2.000000
Prob009_div_16bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob009_div_16bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-2.000000
Prob011_multi_16bit,operator_timing,sr_raw_conservative_exploit_qd,2.000000,2.000000
Prob011_multi_16bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,3.000000
Prob011_multi_16bit,complexity_entropy,sr_raw_conservative_exploit_qd,1.000000,0.000000
Prob012_multi_8bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob012_multi_8bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob012_multi_8bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob015_multi_pipe_8bit,operator_timing,sr_raw_conservative_exploit_qd,-1.000000,-1.000000
Prob015_multi_pipe_8bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-3.000000
Prob015_multi_pipe_8bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob019_sub_64bit,operator_timing,sr_raw_conservative_exploit_qd,0.000000,4.000000
Prob019_sub_64bit,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob019_sub_64bit,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob020_JC_counter,operator_timing,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob020_JC_counter,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob020_JC_counter,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob021_counter_12,operator_timing,sr_raw_conservative_exploit_qd,-1.000000,-1.000000
Prob021_counter_12,state_pipeline,sr_raw_conservative_exploit_qd,-1.000000,0.000000
Prob021_counter_12,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob023_up_down_counter,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-2.000000
Prob023_up_down_counter,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob023_up_down_counter,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-2.000000
Prob024_fsm,operator_timing,sr_raw_conservative_exploit_qd,2.000000,0.000000
Prob024_fsm,state_pipeline,sr_raw_conservative_exploit_qd,2.000000,2.000000
Prob024_fsm,complexity_entropy,sr_raw_conservative_exploit_qd,2.000000,-1.000000
Prob025_sequence_detector,operator_timing,sr_raw_conservative_exploit_qd,1.000000,4.000000
Prob025_sequence_detector,state_pipeline,sr_raw_conservative_exploit_qd,1.000000,4.000000
Prob025_sequence_detector,complexity_entropy,sr_raw_conservative_exploit_qd,1.000000,5.000000
Prob027_LIFObuffer,operator_timing,sr_raw_conservative_exploit_qd,4.000000,1.000000
Prob027_LIFObuffer,state_pipeline,sr_raw_conservative_exploit_qd,2.000000,-1.000000
Prob027_LIFObuffer,complexity_entropy,sr_raw_conservative_exploit_qd,3.000000,-1.000000
Prob030_right_shifter,operator_timing,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob030_right_shifter,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob030_right_shifter,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob031_freq_div,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob031_freq_div,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob031_freq_div,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob035_calendar,operator_timing,sr_raw_conservative_exploit_qd,1.000000,1.000000
Prob035_calendar,state_pipeline,sr_raw_conservative_exploit_qd,2.000000,2.000000
Prob035_calendar,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,1.000000
Prob036_edge_detect,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-2.000000
Prob036_edge_detect,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-4.000000
Prob036_edge_detect,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob037_parallel2serial,operator_timing,sr_raw_conservative_exploit_qd,1.000000,-4.000000
Prob037_parallel2serial,state_pipeline,sr_raw_conservative_exploit_qd,1.000000,-5.000000
Prob037_parallel2serial,complexity_entropy,sr_raw_conservative_exploit_qd,1.000000,-3.000000
Prob041_traffic_light,operator_timing,sr_raw_conservative_exploit_qd,-1.000000,-5.000000
Prob041_traffic_light,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-5.000000
Prob041_traffic_light,complexity_entropy,sr_raw_conservative_exploit_qd,-1.000000,-4.000000
Prob043_RAM,operator_timing,sr_raw_conservative_exploit_qd,-1.000000,-7.000000
Prob043_RAM,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-3.000000
Prob043_RAM,complexity_entropy,sr_raw_conservative_exploit_qd,-1.000000,-7.000000
Prob044_ROM,operator_timing,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob044_ROM,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob044_ROM,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob045_alu,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-5.000000
Prob045_alu,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,-3.000000
Prob045_alu,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-3.000000
Prob047_instr_reg,operator_timing,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob047_instr_reg,state_pipeline,sr_raw_conservative_exploit_qd,0.000000,0.000000
Prob047_instr_reg,complexity_entropy,sr_raw_conservative_exploit_qd,0.000000,-1.000000
Prob048_pe,operator_timing,sr_raw_conservative_exploit_qd,-1.000000,0.000000
Prob048_pe,state_pipeline,sr_raw_conservative_exploit_qd,-1.000000,0.000000
Prob048_pe,complexity_entropy,sr_raw_conservative_exploit_qd,-1.000000,1.000000
Prob049_signal_generator,operator_timing,sr_raw_conservative_exploit_qd,-2.000000,-4.000000
Prob049_signal_generator,state_pipeline,sr_raw_conservative_exploit_qd,-2.000000,-5.000000
Prob049_signal_generator,complexity_entropy,sr_raw_conservative_exploit_qd,-2.000000,-4.000000
Prob050_square_wave,operator_timing,sr_raw_conservative_exploit_qd,2.000000,1.000000
Prob050_square_wave,state_pipeline,sr_raw_conservative_exploit_qd,1.000000,0.000000
Prob050_square_wave,complexity_entropy,sr_raw_conservative_exploit_qd,1.000000,-1.000000
