benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,reference_missing_reason
RTLLM,Prob001_accu,yes,yes,yes,headline,11,13,
RTLLM,Prob002_adder_16bit,yes,yes,yes,headline,11,11,
RTLLM,Prob003_adder_32bit,yes,yes,yes,headline,17,10,
RTLLM,Prob004_adder_8bit,yes,yes,yes,headline,8,11,
RTLLM,Prob005_adder_bcd,yes,yes,yes,headline,15,17,
RTLLM,Prob006_adder_pipe_64bit,no,no,no,diagnostic_only,0,0,marked_missing
RTLLM,Prob007_comparator_3bit,yes,yes,yes,headline,16,8,
RTLLM,Prob008_comparator_4bit,yes,yes,yes,headline,18,20,
RTLLM,Prob009_div_16bit,yes,yes,yes,headline,25,16,
RTLLM,Prob010_radix2_div,no,yes,yes,candidate_missing,0,3,
RTLLM,Prob011_multi_16bit,yes,yes,yes,headline,14,19,
RTLLM,Prob012_multi_8bit,yes,yes,yes,headline,5,5,
RTLLM,Prob013_multi_booth_8bit,no,yes,no,diagnostic_only,0,3,marked_missing
RTLLM,Prob014_multi_pipe_4bit,no,no,yes,candidate_missing,0,0,
RTLLM,Prob015_multi_pipe_8bit,yes,yes,yes,headline,12,9,
RTLLM,Prob016_fixed_point_adder,no,no,yes,candidate_missing,0,0,
RTLLM,Prob017_fixed_point_substractor,no,no,yes,candidate_missing,0,0,
RTLLM,Prob018_float_multi,no,yes,no,diagnostic_only,0,6,marked_missing
RTLLM,Prob019_sub_64bit,yes,yes,yes,headline,9,12,
RTLLM,Prob020_JC_counter,yes,yes,yes,headline,4,4,
RTLLM,Prob021_counter_12,yes,yes,yes,headline,8,6,
RTLLM,Prob022_ring_counter,no,no,yes,candidate_missing,0,0,
RTLLM,Prob023_up_down_counter,yes,yes,yes,headline,3,1,
RTLLM,Prob024_fsm,yes,yes,yes,headline,8,8,
RTLLM,Prob025_sequence_detector,yes,yes,yes,headline,3,7,
RTLLM,Prob026_asyn_fifo,no,no,yes,candidate_missing,0,0,
RTLLM,Prob027_LIFObuffer,yes,yes,yes,headline,32,26,
RTLLM,Prob028_LFSR,no,no,yes,candidate_missing,0,0,
RTLLM,Prob029_barrel_shifter,no,yes,yes,candidate_missing,0,1,
RTLLM,Prob030_right_shifter,yes,yes,yes,headline,3,3,
RTLLM,Prob031_freq_div,yes,yes,yes,headline,5,3,
RTLLM,Prob032_freq_divbyeven,no,no,yes,candidate_missing,0,0,
RTLLM,Prob033_freq_divbyfrac,no,no,yes,candidate_missing,0,0,
RTLLM,Prob034_freq_divbyodd,no,no,yes,candidate_missing,0,0,
RTLLM,Prob035_calendar,yes,yes,yes,headline,5,6,
RTLLM,Prob036_edge_detect,yes,yes,yes,headline,8,4,
RTLLM,Prob037_parallel2serial,yes,yes,yes,headline,8,3,
RTLLM,Prob038_pulse_detect,no,no,yes,candidate_missing,0,0,
RTLLM,Prob039_serial2parallel,no,yes,yes,candidate_missing,0,2,
RTLLM,Prob040_synchronizer,no,yes,no,diagnostic_only,0,12,marked_missing
RTLLM,Prob041_traffic_light,yes,yes,yes,headline,17,10,
RTLLM,Prob042_width_8to16,no,no,yes,candidate_missing,0,0,
RTLLM,Prob043_RAM,yes,yes,yes,headline,11,4,
RTLLM,Prob044_ROM,yes,yes,yes,headline,3,3,
RTLLM,Prob045_alu,yes,yes,yes,headline,28,12,
RTLLM,Prob046_clkgenerator,no,no,yes,candidate_missing,0,0,
RTLLM,Prob047_instr_reg,yes,yes,yes,headline,4,3,
RTLLM,Prob048_pe,yes,yes,yes,headline,5,4,
RTLLM,Prob049_signal_generator,yes,yes,yes,headline,11,5,
RTLLM,Prob050_square_wave,yes,yes,yes,headline,25,28,
