method,method_label,problem,candidate_id,generation,is_pareto_front,operator_mix_score,state_control_ratio,sog_complexity_score,sog_entropy,timing_risk_score,control_pipeline_ratio,timing_risk_entropy,operator_timing_cell,state_pipeline_cell,complexity_entropy_cell,code_file_path
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,5ef02af2-0ac5-4d10-8ef8-f9091356b71f,1,false,0.277778,1.166667,32.000000,2.116300,26.900000,0.333333,1.832463,"1,2","3,3","2,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample3_M-T/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,74b2e986-a965-4e5c-88ba-af9d4a4fe089,1,false,0.340909,1.000000,41.000000,2.167124,34.750000,0.250000,1.799388,"2,3","2,0","2,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample6_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,7cecce05-12d4-4284-848e-0183d285323b,1,false,0.420000,0.750000,42.000000,2.182932,34.800000,0.181818,1.830691,"3,3","0,0","3,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample5_M-T/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,40be97e9-c8b0-4a44-9d10-738fe58de85c,2,false,0.307692,1.000000,24.000000,2.188722,17.400000,0.307692,1.685118,"1,0","2,2","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample2_M-F/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,5d35cec8-9e55-4f00-85ce-4bc165ba3af6,2,false,0.396552,0.700000,51.000000,2.225078,28.500000,0.181818,1.716492,"3,2","0,0","3,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample5_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,72a6e3dd-3677-405e-bc78-ba084641800c,2,false,0.294118,0.714286,30.000000,2.149397,23.550000,0.357143,1.931923,"1,2","0,3","2,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample9_M-T/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,a7e24250-b613-4c62-b583-ea09f7868800,2,true,0.406250,0.625000,28.000000,2.206239,22.000000,0.210526,1.643912,"3,1","0,0","2,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample7_M-T/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,e2f10a33-3ecf-48e8-bdc9-94e5e50c3a89,2,false,0.434783,1.000000,42.000000,2.253553,27.650000,0.200000,1.755257,"3,2","2,0","3,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample1_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,77ea5786-82c5-4492-bf45-d68ffd75bcec,3,false,0.420000,0.666667,45.000000,2.267227,32.000000,0.190476,1.756235,"3,3","0,0","3,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample2_M-E/code.sv
classic_revolution,Classic,Prob002_adder_16bit,5b7c7fc9-fbc3-41f3-b1f5-4cfd1329bee1,0,false,0.627451,1.000000,114.000000,0.000000,16.500000,1.000000,1.158939,"3,0","1,0","1,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample5_initial/code.sv
