seed,metric,unit_count,classic_mean,treatment_mean,mean_delta
1001,unconditional_valid_ppa_repair_rate_all_50,50,0.015000000000000005,0.017083333333333336,0.002083333333333331
1002,unconditional_valid_ppa_repair_rate_all_50,50,0.015416666666666669,0.016666666666666666,0.0012499999999999976
1001,final_hypervolume,46,0.09288251161966231,0.10282527657872909,0.009942764959066777
1002,final_hypervolume,46,0.1016873253311057,0.10509998049497123,0.003412655163865533
1001,hypervolume_auc,46,0.08035913161059569,0.08736646282364019,0.007007331213044504
1002,hypervolume_auc,46,0.08731035606241921,0.08929943678595675,0.0019890807235375396
1001,rtl_simulation_functionality_50,50,0.86,0.84,-0.020000000000000018
1002,rtl_simulation_functionality_50,50,0.82,0.82,0.0
1001,rtl_simulation_functionality_46,46,0.8478260869565217,0.8260869565217391,-0.021739130434782594
1002,rtl_simulation_functionality_46,46,0.8043478260869565,0.8043478260869565,0.0
1001,verification_complete_valid_ppa,46,0.7391304347826086,0.6956521739130435,-0.04347826086956519
1002,verification_complete_valid_ppa,46,0.6956521739130435,0.717391304347826,0.021739130434782594
1001,valid_ppa_sample_yield,46,0.44067028985507245,0.4470108695652173,0.006340579710144845
1002,valid_ppa_sample_yield,46,0.4515398550724638,0.4651268115942029,0.01358695652173908
1001,best_normalized_ppa,46,0.24017645518166741,0.20474142845468868,-0.035435026726978736
1002,best_normalized_ppa,46,0.2652628660412215,0.2750428208616784,0.009779954820456904
