seed,problem,generation,pre_selection_fail_pool_size,pre_selection_success_pool_size,post_selection_fail_pool_size,post_selection_success_pool_size,generation_outcome
1001,Prob020_JC_counter,1,0,8,0,8,completed
1001,Prob020_JC_counter,2,0,8,0,8,completed
1001,Prob020_JC_counter,3,0,8,0,8,completed
1001,Prob020_JC_counter,4,0,8,0,8,completed
1001,Prob020_JC_counter,5,0,8,0,8,completed
1001,Prob021_counter_12,1,0,8,0,8,completed
1001,Prob021_counter_12,2,0,8,0,8,completed
1001,Prob021_counter_12,3,0,8,0,8,completed
1001,Prob021_counter_12,4,0,8,0,8,completed
1001,Prob021_counter_12,5,0,8,0,8,completed
1001,Prob022_ring_counter,1,8,0,8,0,completed
1001,Prob022_ring_counter,2,8,0,8,0,completed
1001,Prob022_ring_counter,3,8,0,8,0,completed
1001,Prob022_ring_counter,4,8,0,8,0,completed
1001,Prob022_ring_counter,5,8,0,8,0,completed
1001,Prob023_up_down_counter,1,0,8,0,8,completed
1001,Prob023_up_down_counter,2,0,8,0,8,completed
1001,Prob023_up_down_counter,3,0,8,0,8,completed
1001,Prob023_up_down_counter,4,0,8,0,8,completed
1001,Prob023_up_down_counter,5,0,8,0,8,completed
1001,Prob024_fsm,1,8,0,7,1,completed
1001,Prob024_fsm,2,7,1,5,3,completed
1001,Prob024_fsm,3,5,3,0,8,completed
1001,Prob024_fsm,4,0,8,0,8,completed
1001,Prob024_fsm,5,0,8,0,8,completed
1001,Prob025_sequence_detector,1,8,0,5,3,completed
1001,Prob025_sequence_detector,2,5,3,3,5,completed
1001,Prob025_sequence_detector,3,3,5,3,5,completed
1001,Prob025_sequence_detector,4,3,5,1,7,completed
1001,Prob025_sequence_detector,5,1,7,0,8,completed
1001,Prob026_asyn_fifo,1,8,0,8,0,completed
1001,Prob026_asyn_fifo,2,8,0,8,0,completed
1001,Prob026_asyn_fifo,3,8,0,8,0,completed
1001,Prob026_asyn_fifo,4,8,0,8,0,completed
1001,Prob026_asyn_fifo,5,8,0,8,0,completed
1001,Prob027_LIFObuffer,1,1,7,0,8,completed
1001,Prob027_LIFObuffer,2,0,8,0,8,completed
1001,Prob027_LIFObuffer,3,0,8,0,8,completed
1001,Prob027_LIFObuffer,4,0,8,0,8,completed
1001,Prob027_LIFObuffer,5,0,8,0,8,completed
1001,Prob028_LFSR,1,8,0,8,0,completed
1001,Prob028_LFSR,2,8,0,8,0,completed
1001,Prob028_LFSR,3,8,0,8,0,completed
1001,Prob028_LFSR,4,8,0,8,0,completed
1001,Prob028_LFSR,5,8,0,8,0,completed
1001,Prob029_barrel_shifter,1,8,0,8,0,completed
1001,Prob029_barrel_shifter,2,8,0,7,1,completed
1001,Prob029_barrel_shifter,3,7,1,7,1,completed
1001,Prob029_barrel_shifter,4,7,1,7,1,completed
1001,Prob029_barrel_shifter,5,7,1,7,1,completed
1001,Prob030_right_shifter,1,0,8,0,8,completed
1001,Prob030_right_shifter,2,0,8,0,8,completed
1001,Prob030_right_shifter,3,0,8,0,8,completed
1001,Prob030_right_shifter,4,0,8,0,8,completed
1001,Prob030_right_shifter,5,0,8,0,8,completed
1001,Prob031_freq_div,1,0,8,0,8,completed
1001,Prob031_freq_div,2,0,8,0,8,completed
1001,Prob031_freq_div,3,0,8,0,8,completed
1001,Prob031_freq_div,4,0,8,0,8,completed
1001,Prob031_freq_div,5,0,8,0,8,completed
1001,Prob032_freq_divbyeven,1,8,0,8,0,completed
1001,Prob032_freq_divbyeven,2,8,0,8,0,completed
1001,Prob032_freq_divbyeven,3,8,0,8,0,completed
1001,Prob032_freq_divbyeven,4,8,0,8,0,completed
1001,Prob032_freq_divbyeven,5,8,0,8,0,completed
1001,Prob033_freq_divbyfrac,1,8,0,8,0,completed
1001,Prob033_freq_divbyfrac,2,8,0,8,0,completed
1001,Prob033_freq_divbyfrac,3,8,0,8,0,completed
1001,Prob033_freq_divbyfrac,4,8,0,8,0,completed
1001,Prob033_freq_divbyfrac,5,8,0,8,0,completed
1001,Prob034_freq_divbyodd,1,8,0,8,0,completed
1001,Prob034_freq_divbyodd,2,8,0,8,0,completed
1001,Prob034_freq_divbyodd,3,8,0,8,0,completed
1001,Prob034_freq_divbyodd,4,8,0,8,0,completed
1001,Prob034_freq_divbyodd,5,8,0,8,0,completed
1001,Prob035_calendar,1,0,8,0,8,completed
1001,Prob035_calendar,2,0,8,0,8,completed
1001,Prob035_calendar,3,0,8,0,8,completed
1001,Prob035_calendar,4,0,8,0,8,completed
1001,Prob035_calendar,5,0,8,0,8,completed
1001,Prob036_edge_detect,1,0,8,0,8,completed
1001,Prob036_edge_detect,2,0,8,0,8,completed
1001,Prob036_edge_detect,3,0,8,0,8,completed
1001,Prob036_edge_detect,4,0,8,0,8,completed
1001,Prob036_edge_detect,5,0,8,0,8,completed
1001,Prob037_parallel2serial,1,2,6,1,7,completed
1001,Prob037_parallel2serial,2,1,7,0,8,completed
1001,Prob037_parallel2serial,3,0,8,0,8,completed
1001,Prob037_parallel2serial,4,0,8,0,8,completed
1001,Prob037_parallel2serial,5,0,8,0,8,completed
1001,Prob038_pulse_detect,1,8,0,8,0,completed
1001,Prob038_pulse_detect,2,8,0,8,0,completed
1001,Prob038_pulse_detect,3,8,0,8,0,completed
1001,Prob038_pulse_detect,4,8,0,8,0,completed
1001,Prob038_pulse_detect,5,8,0,8,0,completed
1001,Prob039_serial2parallel,1,8,0,8,0,completed
1001,Prob039_serial2parallel,2,8,0,8,0,completed
1001,Prob039_serial2parallel,3,8,0,8,0,completed
1001,Prob039_serial2parallel,4,8,0,8,0,completed
1001,Prob039_serial2parallel,5,8,0,8,0,completed
1001,Prob040_synchronizer,1,0,8,0,8,completed
1001,Prob040_synchronizer,2,0,8,0,8,completed
1001,Prob040_synchronizer,3,0,8,0,8,completed
1001,Prob040_synchronizer,4,0,8,0,8,completed
1001,Prob040_synchronizer,5,0,8,0,8,completed
1001,Prob041_traffic_light,1,7,1,4,4,completed
1001,Prob041_traffic_light,2,4,4,0,8,completed
1001,Prob041_traffic_light,3,0,8,0,8,completed
1001,Prob041_traffic_light,4,0,8,0,8,completed
1001,Prob041_traffic_light,5,0,8,0,8,completed
1001,Prob042_width_8to16,1,8,0,8,0,completed
1001,Prob042_width_8to16,2,8,0,8,0,completed
1001,Prob042_width_8to16,3,8,0,8,0,completed
1001,Prob042_width_8to16,4,8,0,8,0,completed
1001,Prob042_width_8to16,5,8,0,8,0,completed
1001,Prob043_RAM,1,0,8,0,8,completed
1001,Prob043_RAM,2,0,8,0,8,completed
1001,Prob043_RAM,3,0,8,0,8,completed
1001,Prob043_RAM,4,0,8,0,8,completed
1001,Prob043_RAM,5,0,8,0,8,completed
1001,Prob044_ROM,1,1,7,0,8,completed
1001,Prob044_ROM,2,0,8,0,8,completed
