seed,problem,metric,classic,treatment,delta,status
1001,Prob001_accu,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob002_adder_16bit,final_hypervolume,0.2051142342841318,0.2051142342841318,0.0,paired
1001,Prob003_adder_32bit,final_hypervolume,0.6744597525026996,0.6744597525026996,0.0,paired
1001,Prob004_adder_8bit,final_hypervolume,0.1510262891809909,0.1510262891809909,0.0,paired
1001,Prob005_adder_bcd,final_hypervolume,0.19818984547461369,0.19818984547461369,0.0,paired
1001,Prob007_comparator_3bit,final_hypervolume,0.0,0.05831864244168616,0.05831864244168616,paired
1001,Prob008_comparator_4bit,final_hypervolume,0.36161818181818184,0.36161818181818184,0.0,paired
1001,Prob009_div_16bit,final_hypervolume,0.73526569789105,0.7197545271629778,-0.015511170728072177,paired
1001,Prob010_radix2_div,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob011_multi_16bit,final_hypervolume,0.0066372828623282336,0.0010820153832858006,-0.005555267479042433,paired
1001,Prob012_multi_8bit,final_hypervolume,0.3865685457602981,0.3865685457602981,0.0,paired
1001,Prob014_multi_pipe_4bit,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob015_multi_pipe_8bit,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob016_fixed_point_adder,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob017_fixed_point_substractor,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob019_sub_64bit,final_hypervolume,0.4499369557400372,0.4499479386520332,1.0982911995971456e-05,paired
1001,Prob020_JC_counter,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob021_counter_12,final_hypervolume,0.0,0.0009591913797521282,0.0009591913797521282,paired
1001,Prob022_ring_counter,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob023_up_down_counter,final_hypervolume,0.0058717935812907865,0.0,-0.0058717935812907865,paired
1001,Prob024_fsm,final_hypervolume,0.3406318423522052,0.2652486706287143,-0.0753831717234909,paired
1001,Prob025_sequence_detector,final_hypervolume,0.01413599109004198,0.0,-0.01413599109004198,paired
1001,Prob026_asyn_fifo,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob027_LIFObuffer,final_hypervolume,0.006086010955065318,0.006130219267087583,4.420831202226524e-05,paired
1001,Prob028_LFSR,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob029_barrel_shifter,final_hypervolume,0.017057471264367817,0.017057471264367817,0.0,paired
1001,Prob030_right_shifter,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob031_freq_div,final_hypervolume,0.09051564828614009,0.10095976154992549,0.010444113263785401,paired
1001,Prob032_freq_divbyeven,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob033_freq_divbyfrac,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob034_freq_divbyodd,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob035_calendar,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob036_edge_detect,final_hypervolume,0.0,0.3930103035366193,0.3930103035366193,paired
1001,Prob037_parallel2serial,final_hypervolume,0.00020603384841795465,0.09112582781456956,0.0909197939661516,paired
