representation,problem_group_count,valid_ppa_count,selected_count,baseline_hypervolume,selected_hypervolume,baseline_pareto_size,selected_pareto_size,baseline_best_fitness,selected_best_fitness,unique_canonical_netlists,unique_motif_signatures,vs_lexical_hv_gain_fraction,vs_lexical_pareto_gain_fraction
fitness_top,114,682,341,3.864198082956659,3.8232476279516034,553,300,0.7498077353006931,0.7498077353006931,52,44,0.03280031397178676,0.06007067137809187
generation_prefix,114,682,341,3.864198082956659,3.1551856809847187,553,303,0.7498077353006931,0.6950547730829421,50,45,-0.14766787844547294,0.0706713780918728
lexical_farthest,114,682,341,3.864198082956659,3.701826554688716,553,283,0.7498077353006931,0.6881421864520456,60,54,0.0,0.0
random,114,682,341,3.864198082956659,3.0741669813303787,553,303,0.7498077353006931,0.6950547730829421,59,50,-0.16955401991034577,0.0706713780918728
t13_impl_z_farthest,114,682,341,3.864198082956659,3.740942964314057,553,285,0.7498077353006931,0.7498077353006931,58,54,0.010566786165547511,0.007067137809187279
t13_incremental_pca4_farthest,114,682,341,3.864198082956659,3.477729682914493,553,290,0.7498077353006931,0.7498077353006931,57,52,-0.06053683727844646,0.024734982332155476
t13_pca2_farthest,114,682,341,3.864198082956659,3.5437771698269573,553,288,0.7498077353006931,0.7498077353006931,58,53,-0.04269497301584105,0.0176678445229682
t13_pca4_farthest,114,682,341,3.864198082956659,3.6257119537486444,553,287,0.7498077353006931,0.7498077353006931,58,53,-0.020561363374430687,0.014134275618374558
t13_pca8_farthest,114,682,341,3.864198082956659,3.586182214946084,553,289,0.7498077353006931,0.7498077353006931,59,55,-0.031239805008194486,0.02120141342756184
t13_rff_pca2_farthest,114,682,341,3.864198082956659,3.491803472311358,553,294,0.7498077353006931,0.6950547730829421,58,53,-0.056734987248752554,0.038869257950530034
t13_rff_pca4_farthest,114,682,341,3.864198082956659,3.4301031396792068,553,292,0.7498077353006931,0.6950547730829421,57,53,-0.07340252467132626,0.03180212014134275
t13_rff_pca8_farthest,114,682,341,3.864198082956659,3.3844240144768323,553,292,0.7498077353006931,0.6950547730829421,56,52,-0.08574214256739368,0.03180212014134275
