feature,source,group
log_rtl_line_count,rtl_line_count,rtl_count
log_rtl_assign_count,rtl_assign_count,rtl_count
log_rtl_always_count,rtl_always_count,rtl_count
log_rtl_case_count,rtl_case_count,rtl_count
log_rtl_if_count,rtl_if_count,rtl_count
log_rtl_ternary_count,rtl_ternary_count,rtl_count
log_rtl_nonblocking_count,rtl_nonblocking_count,rtl_count
log_rtl_blocking_count,rtl_blocking_count,rtl_count
log_rtl_add_count,rtl_add_count,rtl_count
log_rtl_mul_count,rtl_mul_count,rtl_count
log_rtl_wire_count,rtl_wire_count,rtl_count
log_rtl_reg_count,rtl_reg_count,rtl_count
log_rtl_comment_count,rtl_comment_count,rtl_count
log_node_count,node_count,graph_count
log_edge_count,edge_count,graph_count
log_net_count,net_count,graph_count
log_max_level,max_level,graph_count
log_unresolved_cycle_nodes,unresolved_cycle_nodes,graph_count
edge_per_node,edge_count/node_count,graph_ratio
net_per_node,net_count/node_count,graph_ratio
unresolved_cycle_share,unresolved_cycle_nodes/node_count,graph_ratio
share_family_inv,family_inv,cell_family_share
share_family_buf,family_buf,cell_family_share
share_family_nand,family_nand,cell_family_share
share_family_nor,family_nor,cell_family_share
share_family_and,family_and,cell_family_share
share_family_or,family_or,cell_family_share
share_family_xor,family_xor,cell_family_share
share_family_xnor,family_xnor,cell_family_share
share_family_aoi,family_aoi,cell_family_share
share_family_oai,family_oai,cell_family_share
share_family_mux,family_mux,cell_family_share
share_family_dff,family_dff,cell_family_share
share_family_latch,family_latch,cell_family_share
share_family_add,family_add,cell_family_share
share_family_other,family_other,cell_family_share
