representation,same_problem_fraction,same_corpus_fraction,same_canonical_netlist_fraction,same_motif_signature_fraction
t13_impl_z_farthest,0.8671875,0.9361979166666666,0.7942708333333334,0.8567708333333334
t13_pca2_farthest,0.6354166666666666,0.7890625,0.6875,0.73828125
t13_rff_pca2_farthest,0.5481770833333334,0.7643229166666666,0.6640625,0.7161458333333334
t13_pca4_farthest,0.8098958333333334,0.9231770833333334,0.7760416666666666,0.83203125
t13_rff_pca4_farthest,0.6484375,0.8072916666666666,0.7122395833333334,0.7630208333333334
t13_pca8_farthest,0.8463541666666666,0.9205729166666666,0.7890625,0.8463541666666666
t13_rff_pca8_farthest,0.7005208333333334,0.8567708333333334,0.7408854166666666,0.7955729166666666
t13_incremental_pca4_farthest,0.78515625,0.91015625,0.7578125,0.8138020833333334
