representation,problem_group_count,all_valid_count,all_valid_area_power_front_points,selected_count,area_power_front_points,selected_all_valid_front_hits,unique_ppa_points
fitness_top,114,682,133,341,122,122,159
generation_prefix,114,682,133,341,124,110,163
lexical_farthest,114,682,133,341,127,122,183
random,114,682,133,341,128,107,166
t13_impl_z_farthest,114,682,133,341,129,120,186
t13_incremental_pca4_farthest,114,682,133,341,129,118,182
t13_pca2_farthest,114,682,133,341,127,116,184
t13_pca4_farthest,114,682,133,341,125,118,184
t13_pca8_farthest,114,682,133,341,130,118,185
t13_rff_pca2_farthest,114,682,133,341,131,116,181
t13_rff_pca4_farthest,114,682,133,341,130,118,183
t13_rff_pca8_farthest,114,682,133,341,127,115,181
