method_key,seed,benchmark,problem,descriptor_profile,cell_count,occupied_cell_count,passive_archive_coverage,passive_archive_qd_score,pareto_cell_count,unique_front_family_count,pareto_spread,passive_archive_qd_auc,passive_archive_coverage_auc,hv_auc,notes
aurora_raw_impl_compact_delayed_8x5,1001,RTLLM,Prob015_multi_pipe_8bit,implemented_structural_compact_3d,27,5,0.185185185185,0.219273440268,2,not_available,0.310147755497,0.0518519150828,0.137037037037,0,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,RTLLM,Prob015_multi_pipe_8bit,implemented_structural_compact_3d,27,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,RTLLM,Prob024_fsm,implemented_structural_compact_3d,16,6,0.375,2.08369408821,2,not_available,0.201503412888,1.57639338964,0.29375,0.108195182984,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,RTLLM,Prob024_fsm,implemented_structural_compact_3d,16,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.124225836722,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,RTLLM,Prob041_traffic_light,implemented_structural_compact_3d,64,6,0.09375,2.26465081094,2,not_available,not_available,1.77380634229,0.0734375,0.210228413217,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,RTLLM,Prob041_traffic_light,implemented_structural_compact_3d,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.247459694989,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,RTLLM,Prob045_alu,implemented_structural_compact_3d,16,5,0.3125,1.92978480846,1,not_available,0.00994925249126,1.31325561798,0.2125,0.174138556278,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,RTLLM,Prob045_alu,implemented_structural_compact_3d,16,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.224868446679,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,RTLLM,Prob049_signal_generator,implemented_structural_compact_3d,1,33,33,7.7475649153,33,not_available,not_available,5.00070099078,21.3,0.00683402432909,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,RTLLM,Prob049_signal_generator,implemented_structural_compact_3d,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.0166726167764,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,implemented_structural_compact_3d,1,22,22,8.479835924,5,not_available,not_available,5.44411658031,14.3,0.378395025907,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,implemented_structural_compact_3d,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.378175751295,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,implemented_structural_compact_3d,1,30,30,5.88430493274,30,not_available,not_available,3.25598206278,16.6,0,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,implemented_structural_compact_3d,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,descriptor_projection_missing
aurora_raw_impl_compact_delayed_8x5,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,implemented_structural_compact_3d,48,4,0.0833333333333,0.157745543642,4,not_available,0.793846907897,0.140270102734,0.06875,0.000391765836724,candidate_level_no_canonical_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,implemented_structural_compact_3d,48,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.000135258004425,descriptor_projection_missing
