technique,problem,classic_generated,memory_refine_generated,front_rescue_generated,memory_refine_valid_ppa,front_rescue_valid_ppa,memory_refine_global_front_adds,front_rescue_global_front_adds,memory_refine_local_front_adds,front_rescue_local_front_adds,active_cells,sampleable_cells
fg_qdm_random_memory_12x3,Prob015_multi_pipe_8bit,10,2,0,1,0,1,0,1,0,9,4
fg_qdm_random_memory_12x3,Prob041_traffic_light,9,2,1,2,0,1,0,2,0,19,15
fg_qdm_random_memory_12x3,Prob045_alu,9,2,1,1,1,0,0,1,1,18,14
fg_qdm_sr_memory_warmup4_12x3,Prob015_multi_pipe_8bit,9,2,1,1,1,0,0,1,0,8,4
fg_qdm_sr_memory_warmup4_12x3,Prob041_traffic_light,10,2,0,0,0,0,0,0,0,16,10
fg_qdm_sr_memory_warmup4_12x3,Prob045_alu,9,2,1,1,0,0,0,0,0,18,14
