scope,method,reference,problem,metric,value,reference_value,delta,relative_delta,gate_status
aggregate,sr_raw_conservative_exploit_qd,classic_revolution,,mean_global_ppa_hypervolume,0.183839,0.181382,0.002457,0.013546,
aggregate,sr_raw_conservative_exploit_qd,classic_revolution,,mean_hv_auc,0.133872,0.119509,0.014363,0.120183,
aggregate,sr_raw_conservative_exploit_qd,classic_revolution,,valid_ppa_count,40.000000,66.000000,-26.000000,-0.393939,
aggregate,sr_raw_conservative_exploit_qd,classic_revolution,,total_ppa_front_points,6.000000,10.000000,-4.000000,-0.400000,
aggregate,sr_raw_conservative_exploit_qd,classic_revolution,,total_unique_ppa_points,33.000000,55.000000,-22.000000,-0.400000,
aggregate,sr_raw_conservative_exploit_qd,classic_revolution,,total_reference_beating_count,24.000000,37.000000,-13.000000,-0.351351,
problem,sr_raw_conservative_exploit_qd,classic_revolution,Prob045_alu,valid_ppa_count,10,26,-16,-0.615385,yield_warning
problem,sr_raw_conservative_exploit_qd,classic_revolution,Prob041_traffic_light,valid_ppa_count,20,19,1,0.052632,pass
problem,sr_raw_conservative_exploit_qd,classic_revolution,Prob015_multi_pipe_8bit,valid_ppa_count,10,21,-11,-0.523810,yield_warning
aggregate,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,,mean_global_ppa_hypervolume,0.145351,0.181382,-0.036031,-0.198647,
aggregate,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,,mean_hv_auc,0.142890,0.119509,0.023381,0.195642,
aggregate,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,,valid_ppa_count,53.000000,66.000000,-13.000000,-0.196970,
aggregate,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,,total_ppa_front_points,8.000000,10.000000,-2.000000,-0.200000,
aggregate,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,,total_unique_ppa_points,46.000000,55.000000,-9.000000,-0.163636,
aggregate,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,,total_reference_beating_count,30.000000,37.000000,-7.000000,-0.189189,
problem,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,Prob045_alu,valid_ppa_count,19,26,-7,-0.269231,pass
problem,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,Prob041_traffic_light,valid_ppa_count,19,19,0,0.000000,pass
problem,sr_raw_conservative_exploit_low_fusion_qd,classic_revolution,Prob015_multi_pipe_8bit,valid_ppa_count,15,21,-6,-0.285714,pass
aggregate,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,,mean_global_ppa_hypervolume,0.156546,0.181382,-0.024836,-0.136926,
aggregate,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,,mean_hv_auc,0.126159,0.119509,0.006650,0.055644,
aggregate,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,,valid_ppa_count,56.000000,66.000000,-10.000000,-0.151515,
aggregate,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,,total_ppa_front_points,15.000000,10.000000,5.000000,0.500000,
aggregate,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,,total_unique_ppa_points,51.000000,55.000000,-4.000000,-0.072727,
aggregate,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,,total_reference_beating_count,29.000000,37.000000,-8.000000,-0.216216,
problem,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,Prob045_alu,valid_ppa_count,17,26,-9,-0.346154,pass
problem,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,Prob041_traffic_light,valid_ppa_count,18,19,-1,-0.052632,pass
problem,sr_raw_conservative_exploit_mid_fusion_qd,classic_revolution,Prob015_multi_pipe_8bit,valid_ppa_count,21,21,0,0.000000,pass
