method,method_label,problem_count,valid_ppa_count,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,total_duplicate_ppa_point_count,mean_front_nn_distance,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc
classic_revolution,Classic,3,66,0.458333,0.297399,0.181382,0.119509,10,37,55,0,0.337371,,,,,,
sr_raw_conservative_exploit_qd,Exact T26,3,40,0.277778,0.281993,0.183839,0.133872,6,24,33,0,0.239494,0.140625,1.962704,33.000000,6.000000,0.512513,0.051215
sr_raw_conservative_exploit_low_fusion_qd,T26.1 Low Fusion,3,53,0.368055,0.276751,0.145351,0.142890,8,30,46,0,0.057051,0.221836,1.584166,47.000000,8.000000,0.960148,0.137153
sr_raw_conservative_exploit_mid_fusion_qd,T26.1 Mid Fusion,3,56,0.388889,0.266956,0.156546,0.126159,15,29,51,0,0.156786,0.225116,0.890439,50.000000,15.000000,0.292285,0.115644
