method,method_label,run_root,mode
classic_revolution,Classic,exp/useful_bd_push/rtllm_milestone_screen_20260622_130747_UTC,classic_revolution/seed_1001/openai_gpt-oss-120b
sr_raw_conservative_exploit_qd,Exact T26,exp/useful_bd_push/rtllm_milestone_screen_20260622_130747_UTC,sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b
sr_raw_conservative_exploit_low_fusion_qd,T26.1 Low Fusion,exp/useful_bd_push/rtllm_milestone_screen_20260622_130747_UTC,sr_raw_conservative_exploit_low_fusion_qd/seed_1001/openai_gpt-oss-120b
sr_raw_conservative_exploit_mid_fusion_qd,T26.1 Mid Fusion,exp/useful_bd_push/rtllm_milestone_screen_20260622_130747_UTC,sr_raw_conservative_exploit_mid_fusion_qd/seed_1001/openai_gpt-oss-120b
