method,method_label,problem,total_generated,valid_ppa_count,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc
classic_revolution,Classic,Prob045_alu,48,26,0.541667,0.418528,0.261659,0.188142,2,24,24,0,0.075056,0.000005,,,,,,
classic_revolution,Classic,Prob041_traffic_light,48,19,0.395833,0.420875,0.282486,0.170385,2,13,13,0,0.594937,0.020961,,,,,,
classic_revolution,Classic,Prob015_multi_pipe_8bit,48,21,0.437500,0.052795,0.000000,0.000000,6,0,18,0,0.342121,0.911195,,,,,,
sr_raw_conservative_exploit_qd,Exact T26,Prob045_alu,48,10,0.208333,0.388413,0.172421,0.162455,1,9,9,0,0.000000,0.000000,0.140625,3.404148,9,1,0.567358,0.023438
sr_raw_conservative_exploit_qd,Exact T26,Prob041_traffic_light,48,20,0.416667,0.457945,0.379096,0.239161,1,15,17,0,0.000000,0.000000,0.203125,2.927753,17,1,1.192076,0.091146
sr_raw_conservative_exploit_qd,Exact T26,Prob015_multi_pipe_8bit,48,10,0.208333,-0.000378,0.000000,0.000000,4,0,7,0,0.718483,1.420578,0.078125,-0.443788,7,4,-0.221894,0.039062
sr_raw_conservative_exploit_low_fusion_qd,T26.1 Low Fusion,Prob045_alu,48,19,0.395833,0.400800,0.209019,0.201637,1,17,17,0,0.000000,0.000000,0.218750,5.357072,17,1,2.948068,0.119792
sr_raw_conservative_exploit_low_fusion_qd,T26.1 Low Fusion,Prob041_traffic_light,48,19,0.395833,0.406347,0.227033,0.227033,1,13,14,0,0.000000,0.000000,0.259259,1.554358,15,1,1.018142,0.166667
sr_raw_conservative_exploit_low_fusion_qd,T26.1 Low Fusion,Prob015_multi_pipe_8bit,48,15,0.312500,0.023107,0.000000,0.000000,6,0,15,0,0.171153,0.243900,0.187500,-2.158933,15,6,-1.085767,0.125000
sr_raw_conservative_exploit_mid_fusion_qd,T26.1 Mid Fusion,Prob045_alu,48,17,0.354167,0.412357,0.243748,0.191802,3,14,14,0,0.027416,0.000022,0.222222,3.115142,13,3,1.663057,0.120370
sr_raw_conservative_exploit_mid_fusion_qd,T26.1 Mid Fusion,Prob041_traffic_light,48,18,0.375000,0.371300,0.225891,0.186675,4,15,18,0,0.143915,0.068566,0.234375,2.846143,18,4,1.055319,0.096354
sr_raw_conservative_exploit_mid_fusion_qd,T26.1 Mid Fusion,Prob015_multi_pipe_8bit,48,21,0.437500,0.017211,0.000000,0.000000,8,0,19,0,0.299026,0.500162,0.218750,-3.289967,19,8,-1.841521,0.130208
