cohort,method,candidate_count,front_count,occupied_cells,front_cells,mean_operator_count,mean_front_operator_count,mean_sog_complexity_score,mean_front_sog_complexity_score,mean_state_control_ratio,mean_front_state_control_ratio
all,classic_revolution,352,61,16,15,37.184659,33.098361,55.556818,50.081967,0.802176,0.978447
all,sr_raw_conservative_exploit_qd,318,69,16,14,38.619497,32.855072,57.704403,53.420290,0.958676,0.791945
