cohort,method,candidate_count,front_count,occupied_cells,front_cells,mean_operator_count,mean_front_operator_count,mean_sog_complexity_score,mean_front_sog_complexity_score,mean_state_control_ratio,mean_front_state_control_ratio
Prob019_sub_64bit,sr_raw_conservative_exploit_qd,12,1,6,1,197.666667,145.000000,226.333333,145.000000,0.714286,1.000000
Prob020_JC_counter,sr_raw_conservative_exploit_qd,4,1,2,1,3.250000,2.000000,5.250000,3.000000,1.687500,2.000000
Prob021_counter_12,sr_raw_conservative_exploit_qd,6,2,5,2,5.833333,9.000000,11.833333,18.000000,0.692308,0.410256
Prob023_up_down_counter,sr_raw_conservative_exploit_qd,1,1,1,1,4.000000,4.000000,10.000000,10.000000,1.000000,1.000000
Prob024_fsm,sr_raw_conservative_exploit_qd,8,3,5,3,13.750000,14.333333,25.500000,26.333333,0.174250,0.167444
Prob025_sequence_detector,sr_raw_conservative_exploit_qd,7,2,6,2,11.571429,9.500000,21.428571,17.000000,0.541342,1.083333
Prob027_LIFObuffer,sr_raw_conservative_exploit_qd,26,8,12,7,40.884615,35.375000,72.423077,62.750000,0.241509,0.289781
Prob029_barrel_shifter,sr_raw_conservative_exploit_qd,1,1,1,1,3.000000,3.000000,6.000000,6.000000,0.250000,0.250000
Prob030_right_shifter,sr_raw_conservative_exploit_qd,3,1,2,1,6.000000,1.000000,9.333333,2.000000,4.333333,2.000000
Prob031_freq_div,sr_raw_conservative_exploit_qd,3,1,3,1,15.333333,12.000000,28.666667,22.000000,1.122222,1.000000
Prob035_calendar,sr_raw_conservative_exploit_qd,6,3,4,2,15.000000,14.666667,31.000000,30.333333,0.523810,0.529101
Prob036_edge_detect,sr_raw_conservative_exploit_qd,4,1,4,1,9.000000,5.000000,12.750000,6.000000,2.950000,2.000000
Prob037_parallel2serial,sr_raw_conservative_exploit_qd,3,2,3,2,9.000000,8.000000,17.666667,16.500000,1.016667,0.900000
Prob039_serial2parallel,sr_raw_conservative_exploit_qd,2,1,2,1,16.000000,9.000000,29.000000,17.000000,1.133333,1.666667
Prob040_synchronizer,sr_raw_conservative_exploit_qd,12,1,4,1,5.583333,4.000000,11.166667,8.000000,6.166667,5.000000
Prob041_traffic_light,sr_raw_conservative_exploit_qd,10,2,5,1,25.900000,23.000000,48.400000,43.000000,0.306477,0.176471
Prob043_RAM,sr_raw_conservative_exploit_qd,4,1,4,1,20.250000,6.000000,34.500000,10.000000,0.566912,0.400000
Prob044_ROM,sr_raw_conservative_exploit_qd,3,2,2,1,89.000000,131.000000,90.333333,131.000000,1.400000,2.000000
Prob045_alu,sr_raw_conservative_exploit_qd,12,1,6,1,52.500000,70.000000,86.916667,114.000000,0.033433,0.024390
Prob047_instr_reg,sr_raw_conservative_exploit_qd,3,1,2,1,4.666667,4.000000,8.666667,8.000000,1.000000,1.000000
Prob048_pe,sr_raw_conservative_exploit_qd,4,1,1,1,4.750000,3.000000,14.250000,11.000000,1.700000,2.000000
Prob049_signal_generator,sr_raw_conservative_exploit_qd,5,2,4,2,14.800000,11.500000,28.200000,23.000000,0.446667,0.650000
Prob050_square_wave,sr_raw_conservative_exploit_qd,28,3,5,2,7.892857,9.333333,14.464286,17.000000,1.601786,1.416667
