metric,classic_revolution_8x5,masterrtl_rf_timing_state_8x5,delta_rf_minus_classic
mean_hypervolume,0.14064478405974706,0.11401081112619328,-0.02663397293355378
mean_pareto_point_count,3.25,2.0,-1.25
mean_reference_beating_count,8.0,4.875,-3.125
hypervolume_win_count,6,2,-4
