benchmark,problem,classic_valid_ppa_candidates,rf_timing_qd_valid_ppa_candidates,reference_ppa_valid,comparison_status
RTLLM,Prob015_multi_pipe_8bit,17,9,yes,headline_paired
RTLLM,Prob024_fsm,4,6,yes,headline_paired
RTLLM,Prob041_traffic_light,13,14,yes,headline_paired
RTLLM,Prob045_alu,34,14,yes,headline_paired
RTLLM,Prob049_signal_generator,5,2,yes,headline_paired
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,6,5,yes,headline_paired
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,4,2,yes,headline_paired
VerilogEval-Spec-to-RTL,Prob153_gshare,11,15,yes,headline_paired
