left_view,right_view,candidate_count,cosine_mean,cosine_min,cosine_max
canonical_rtl,canonical_yosys_netlist,768,0.755103111,0.418643951,0.951641798
canonical_rtl,commentless_rtl,768,0.694255054,0.480051935,0.898692250
canonical_rtl,identifier_role_rtl,768,0.971522331,0.943742931,0.993957758
canonical_rtl,raw_rtl,768,0.660038412,0.459979385,0.898692250
canonical_rtl,summary_plus_netlist,768,0.681406796,0.415072709,0.836636484
canonical_yosys_netlist,commentless_rtl,768,0.497805506,0.257145941,0.805204332
canonical_yosys_netlist,identifier_role_rtl,768,0.756260693,0.403224826,0.927721679
canonical_yosys_netlist,raw_rtl,768,0.479606658,0.237902418,0.805204332
canonical_yosys_netlist,summary_plus_netlist,768,0.890091598,0.797450781,0.999491572
commentless_rtl,identifier_role_rtl,768,0.689097106,0.478326797,0.876596510
commentless_rtl,raw_rtl,768,0.948345840,0.764762878,1.000000238
commentless_rtl,summary_plus_netlist,768,0.446223021,0.255059659,0.673506141
identifier_role_rtl,raw_rtl,768,0.655034363,0.456543535,0.876596510
identifier_role_rtl,summary_plus_netlist,768,0.682415724,0.397569716,0.843218684
raw_rtl,summary_plus_netlist,768,0.429833323,0.232314169,0.673506141
