problem,count,spearman_rho,pass_minus_fail_mean_edit_ratio
Prob001_accu,63,-0.3458926819330783,-0.089918842621173
Prob002_adder_16bit,65,-0.09497544946236001,-0.10381032446567984
Prob003_adder_32bit,62,-0.06970693317617731,-0.07195971567116122
Prob004_adder_8bit,50,-0.19979304821322239,-0.06383420414674235
Prob005_adder_bcd,64,-0.029200617496930648,-0.00221869049440937
Prob007_comparator_3bit,61,-0.2303562443863923,-0.10458756542866054
Prob008_comparator_4bit,61,-0.07110059622641846,-0.020167939016784597
Prob009_div_16bit,63,-0.43917740256430515,-0.1924711698126157
Prob011_multi_16bit,62,0.04533586355512429,-0.0027344640918227636
Prob012_multi_8bit,66,-0.6280929700078319,-0.22169605158739047
Prob015_multi_pipe_8bit,39,0.03884756789820235,-0.0011196406048328278
Prob019_sub_64bit,65,-0.39955729140246127,-0.23646658121682707
Prob020_JC_counter,66,-0.18100850485697959,-0.08896184141032415
Prob021_counter_12,66,-0.07425331072727882,-0.07809326699125263
Prob023_up_down_counter,65,-0.3078039765807064,-0.12436111579856546
Prob024_fsm,36,-0.03840769108718305,-0.0041277418683348666
Prob025_sequence_detector,19,-0.12529982633827058,-0.045332301162128386
Prob027_LIFObuffer,59,-0.12311840828878015,-0.04117880697942922
Prob030_right_shifter,68,-0.592138358479483,-0.2574532650778998
Prob031_freq_div,64,-0.11561728368086001,-0.03906446388222673
Prob035_calendar,60,0.05980469045445685,0.013034841938433739
Prob036_edge_detect,67,-0.06964862870079781,-0.019437319693609345
Prob037_parallel2serial,46,-0.29757780597404365,-0.061893787613555684
Prob041_traffic_light,39,-0.20781597757549508,-0.05741797091670009
Prob043_RAM,65,0.006340815158202735,0.006331005666768308
Prob044_ROM,65,-0.11811760670096261,-0.03418861776952187
Prob045_alu,51,-0.23226289834162914,-0.12223974196549159
Prob047_instr_reg,65,-0.17418737835246317,-0.050094506829479246
Prob048_pe,67,-0.46815675282998115,-0.17305935803992212
Prob049_signal_generator,61,-0.11661948773186319,-0.03839118870589253
Prob050_square_wave,64,-0.062028985939385224,-0.06845680158276723
