generation,count,valid_ppa_spearman_rho,valid_ppa_spearman_pvalue
1,309,-0.23978272972016562,2.0422043451612136e-05
2,377,-0.288419722893249,1.1761517667269719e-08
3,400,-0.22065003666808974,8.420374715638661e-06
4,397,-0.2707681485858754,4.236001146068224e-08
5,417,-0.23448173327807895,1.2883557404013253e-06
