lower_inclusive,upper_exclusive,count,valid_ppa_rate
0.0,0.1,5,1
0.1,0.25,68,0.9411764705882353
0.25,0.5,596,0.7768456375838926
0.5,0.75,961,0.6285119667013528
0.75,1.01,270,0.5111111111111111
