operator,count,mean_edit_ratio,rtl_valid_rate,valid_ppa_rate,valid_ppa_spearman_rho,valid_ppa_spearman_pvalue
M-E,448,0.6451923585080059,0.5044642857142857,0.4732142857142857,-0.15850136143398566,0.0007605257918363857
M-I,484,0.5470899403869023,0.7024793388429752,0.6487603305785123,-0.3040902105840988,8.188191272504592e-12
M-R,475,0.5376445273294537,0.7789473684210526,0.7242105263157895,-0.16947344207068463,0.00020666086378061304
M-S,493,0.516337665888527,0.8519269776876268,0.8194726166328601,-0.12260249064945032,0.006418546815064484
