outcome,pass_count,pass_mean_edit_ratio,pass_median_edit_ratio,fail_count,fail_mean_edit_ratio,fail_median_edit_ratio,spearman_rho,spearman_pvalue
rtl_valid,1356,0.5368313536884192,0.5411924402213637,544,0.6173345807387596,0.6285714285714286,-0.2066222635024499,9.126414430391975e-20
valid_ppa,1274,0.5296090143640967,0.5348837209302325,626,0.6214879284720807,0.6390969282535548,-0.2508693623163931,1.1727817346835337e-28
