seed,problem,generation,operator,status,parent_id,child_id,edit_ratio,rtl_valid,valid_ppa
1001,Prob001_accu,1,M-S,success,a3244b25-8190-4f1d-b1d6-f4698508af88,24a7a615-b40d-409d-8553-e0517e9317d9,0.3493975903614458,1,1
1001,Prob001_accu,1,M-R,success,94c21176-911e-41d9-bddb-2e0a19ea55e2,19c6d76d-8838-4bfc-96d7-7d1b3dec06e9,0.4482758620689655,1,1
1001,Prob001_accu,1,M-E,success,4472ce00-6945-40d0-b19d-46b9739e801f,3a8fd652-a48a-4f82-96f7-2622e81b788e,0.5056179775280899,1,1
1001,Prob001_accu,1,M-I,success,4472ce00-6945-40d0-b19d-46b9739e801f,508038fd-72bc-4157-a748-9d5448da439f,0.4878048780487805,1,1
1001,Prob001_accu,1,M-I,success,94c21176-911e-41d9-bddb-2e0a19ea55e2,0a7385f7-b766-43e3-b8f7-2b32acb5720f,0.4222222222222222,1,1
1001,Prob001_accu,1,M-E,success,4472ce00-6945-40d0-b19d-46b9739e801f,e6b9747a-8506-49a3-84e6-77c672987791,0.5652173913043478,1,1
1001,Prob001_accu,1,M-S,success,5e956eae-f971-41c7-9906-84392993c175,afb09308-e45b-4ec8-8991-f1bd6874cafd,0.34146341463414637,1,1
1001,Prob001_accu,2,M-R,failed_functionality,afb09308-e45b-4ec8-8991-f1bd6874cafd,2f7425a3-df44-4371-a174-ffa16f8620ae,0.4358974358974359,0,0
1001,Prob001_accu,2,M-I,success,e2267d46-1d1c-484d-b5c5-853049848816,845b35ed-3438-42c9-b77c-39ae333abd9f,0.5416666666666666,1,1
1001,Prob001_accu,2,M-S,success,24a7a615-b40d-409d-8553-e0517e9317d9,4f66f75e-cd5b-43cf-957a-1225ededa24c,0.2682926829268293,1,1
1001,Prob001_accu,2,M-R,success,508038fd-72bc-4157-a748-9d5448da439f,06925eba-50fc-4bab-9587-355bd928d0c0,0.5714285714285714,1,1
1001,Prob001_accu,2,M-E,failed_syntax,508038fd-72bc-4157-a748-9d5448da439f,cfa92704-fb14-4269-99e7-eaa23680f5e0,0.5,0,0
1001,Prob001_accu,2,M-R,success,e2267d46-1d1c-484d-b5c5-853049848816,cfe0c09d-96ce-4eeb-9282-81fb96570508,0.30337078651685395,1,1
1001,Prob001_accu,2,M-R,success,e2267d46-1d1c-484d-b5c5-853049848816,2fe45d66-d453-424b-8a08-389c92abefe4,0.34831460674157305,1,1
1001,Prob001_accu,3,M-I,failed_functionality,cfe0c09d-96ce-4eeb-9282-81fb96570508,1f4bbea4-d26a-4ef2-add3-0acd65d3bdb6,0.6144578313253012,0,0
1001,Prob001_accu,3,M-S,success,cfe0c09d-96ce-4eeb-9282-81fb96570508,89d31587-0e3b-4623-9f04-c50069e82b17,0.4936708860759494,1,1
1001,Prob001_accu,3,M-I,success,24a7a615-b40d-409d-8553-e0517e9317d9,00978dfb-32b2-4d14-9c66-cef05982c36b,0.4939759036144578,1,1
1001,Prob001_accu,3,M-S,success,06925eba-50fc-4bab-9587-355bd928d0c0,aa4ae04a-73f6-4c3c-9aaf-8aa0dee592f9,0.8947368421052632,1,1
1001,Prob001_accu,4,M-I,failed_functionality,cfe0c09d-96ce-4eeb-9282-81fb96570508,5a4dfa58-64f9-45cc-aef3-ed7e9b215121,0.4772727272727273,0,0
