feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
resource_sharing_ratio_est,283,1.0,31,0.10954063604240283,0.36042402826855124,0.0,0.8421052631578947,0.013428059813466559,0.05307511204019009,0.0,0.021217948717948718,0.021217948717948718,1.0,False,False
rtl_char_count,283,1.0,250,0.8833922261484098,1.0,97.0,4279.0,1112.809187279152,919.6196857491475,358.5,1712.5,1354.0,1.0,False,False
rtl_cyclomatic_max_log,283,1.0,28,0.0989399293286219,0.6148409893992933,0.0,6.815639990074331,1.6296291520054347,1.7614356197775027,0.0,2.3978952727983707,2.3978952727983707,1.0,False,False
rtl_cyclomatic_total_log,283,1.0,32,0.11307420494699646,0.6148409893992933,0.0,6.948897222313312,1.6862260200240289,1.81983355566242,0.0,2.4849066497880004,2.4849066497880004,1.0,False,False
rtl_instance_count_est,283,1.0,1,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
rtl_line_count,283,1.0,82,0.28975265017667845,1.0,3.0,135.0,36.69964664310954,27.367120013360356,13.0,53.0,40.0,1.0,False,False
rtl_nonempty_line_count,283,1.0,75,0.26501766784452296,1.0,3.0,125.0,33.96819787985866,25.272977075338716,12.0,47.0,35.0,1.0,False,False
scoap_cc0_bin_0_pct,283,1.0,66,0.2332155477031802,1.0,0.11494252873563218,0.75,0.31758170262870894,0.1770687954021049,0.1951219512195122,0.40625,0.2111280487804878,1.0,False,False
scoap_cc0_bin_1_pct,283,1.0,68,0.24028268551236748,1.0,0.05765407554671968,0.7586206896551724,0.350795396077813,0.201099818206578,0.17391304347826086,0.4850980392156863,0.3111849957374254,1.0,False,False
scoap_cc0_bin_2_pct,283,1.0,64,0.22614840989399293,0.901060070671378,0.0,0.4576271186440678,0.13190671030615322,0.10702468514324714,0.03571428571428571,0.16145833333333331,0.12574404761904762,1.0,False,False
scoap_cc0_bin_3_pct,283,1.0,55,0.19434628975265017,0.6007067137809188,0.0,0.8242544731610338,0.1997161909873248,0.23350856772372353,0.0,0.38095238095238093,0.38095238095238093,1.0,False,False
scoap_cc1_bin_0_pct,283,1.0,66,0.2332155477031802,1.0,0.11494252873563218,0.75,0.31758170262870894,0.1770687954021049,0.1951219512195122,0.40625,0.2111280487804878,1.0,False,False
scoap_cc1_bin_1_pct,283,1.0,68,0.24028268551236748,0.9717314487632509,0.0,0.6049382716049383,0.22845304397895333,0.13906291349352218,0.11904761904761904,0.2727272727272727,0.15367965367965367,1.0,False,False
scoap_cc1_bin_2_pct,283,1.0,56,0.1978798586572438,0.8904593639575972,0.0,0.6923076923076923,0.2585577524816008,0.15631380830682318,0.16666666666666666,0.34146341463414637,0.1747967479674797,1.0,False,False
scoap_cc1_bin_3_pct,283,1.0,56,0.1978798586572438,0.6325088339222615,0.0,0.8751987281399046,0.19540750091073694,0.2381343756626341,0.0,0.35714285714285715,0.35714285714285715,1.0,False,False
scoap_co_bin_0_pct,283,1.0,67,0.23674911660777384,1.0,0.023319615912208505,0.75,0.23389860168647778,0.1816420822791884,0.11919947794479263,0.2682926829268293,0.14909320498203665,1.0,False,False
