source_name,path,exists,rows,sha256,notes
candidate_audit,/workspace/exp/diversity_check/restarted_report_20260621_075346_UTC/candidate_audit.parquet,True,203944,45bf15f12ac23e429b89da8e168d7f4ad4404a9fcbb911f78c36de4af05d400f,replay input
wp0_descriptor_rows,/workspace/exp/diversity_check/wp0_stnod_sr_replay_20260621_041018_UTC/wp0_descriptor_rows.parquet,True,9360,0a545bc34622b6f5c4a54dffeb33427028bcc4b0cd14903d6a27916da47af28a,replay input
aspdac_release_copy,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp,True,,,local copied ASP-DAC source run root
