policy,mean_hypervolume,mean_best_fitness,mean_style_clusters,rows
oracle_motif_diversity,0.04286605665697135,0.20709672040617863,1.4720229555236728,697
oracle_style_diversity,0.04243194591690234,0.20709672040617863,2.677187948350072,697
online_style_diversity,0.04239873480047744,0.20709672040617863,2.677187948350072,697
oracle_lexical_diversity,0.042302728790667675,0.20709672040617863,2.54519368723099,697
oracle_best_fitness,0.04229448394863885,0.20709672040617863,1.4619799139167862,697
online_best_fitness,0.04226127283221396,0.20709672040617863,1.4318507890961263,697
random_seed_15,0.03239466868504236,0.14550014234098294,1.7360114777618365,697
random_seed_05,0.03226405286164256,0.14144816831672946,1.7202295552367288,697
random_seed_07,0.03147063278178586,0.13778165993309066,1.7374461979913918,697
random_seed_10,0.03146484037284664,0.14912242983027285,1.703012912482066,697
random_seed_19,0.03128532152720563,0.14616436188793613,1.714490674318508,697
random_seed_17,0.031239735080647302,0.14561705732014826,1.703012912482066,697
random_seed_16,0.031216107314481274,0.14333861411743373,1.6929698708751793,697
random_seed_14,0.03110127421230817,0.1370466035336687,1.714490674318508,697
random_seed_01,0.030981931593034737,0.14409219950246854,1.7604017216642756,697
random_seed_03,0.030927091572832754,0.14715656918320302,1.7345767575322812,697
random_seed_06,0.030823630394784935,0.1440204388108885,1.708751793400287,697
random_seed_02,0.030553963441127593,0.1418860528128339,1.6685796269727404,697
random_seed_09,0.030425277661075174,0.14593405147395594,1.7374461979913918,697
random_seed_04,0.029762282099782624,0.1321771188146731,1.7532281205164992,697
random_seed_13,0.029721961693928895,0.14224984263291413,1.7173601147776183,697
random_seed_11,0.029279800684065473,0.13027689296383063,1.715925394548063,697
random_seed_08,0.029182614902859682,0.13930915388064594,1.7116212338593975,697
random_seed_12,0.029123764052196806,0.13888102116004647,1.721664275466284,697
random_seed_18,0.02905064551362116,0.15048546051699155,1.7001434720229556,697
random_seed_00,0.028302844197725194,0.13919424902539887,1.6944045911047345,697
