benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,reference_missing_reason
RTLLM,Prob015_multi_pipe_8bit,yes,yes,yes,headline,24,7,
RTLLM,Prob024_fsm,yes,yes,yes,headline,10,19,
RTLLM,Prob041_traffic_light,yes,yes,yes,headline,20,19,
RTLLM,Prob045_alu,yes,yes,yes,headline,36,17,
RTLLM,Prob049_signal_generator,yes,yes,yes,headline,16,41,
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,yes,yes,yes,headline,31,28,
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,yes,yes,yes,headline,41,33,
VerilogEval-Spec-to-RTL,Prob153_gshare,yes,yes,yes,headline,13,16,
