seed,baseline_mean_hv,treatment_mean_hv,treatment_over_baseline_pct,baseline_mean_hv_auc,treatment_mean_hv_auc,baseline_coverage,treatment_coverage,baseline_pareto_pts,treatment_pareto_pts
1001,0.14064478405974706,0.17376375275693837,123.5,0.123873865,0.143659910,8/8,8/8,3.25,2.625
1002,0.15936940200276137,0.17179976188570917,107.8,0.129962880,0.151323348,8/8,8/8,2.125,2.0
1003,0.13253100841854415,0.1429425878468403,107.9,0.111401655,0.129256461,8/8,8/8,2.875,3.125
mean,0.14418173149368418,0.16283536749649596,112.9,0.121746133,0.141413240,,,,
