problem,embedded_rows,backends,mean_aig_variables,mean_aig_ands
Prob024_fsm,12,4,69.0,58.0
Prob041_traffic_light,12,4,363.25,335.0833333333333
Prob049_signal_generator,12,4,164.0,148.0
Prob116_m2014_q3,12,4,8.916666666666666,4.916666666666667
Prob135_m2014_q6b,12,4,11.416666666666666,7.416666666666667
