method,method_label,problem_count,valid_ppa_count,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,total_duplicate_ppa_point_count,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc
classic_revolution,Classic,3,66,0.458333,0.341634,0.160241,0.122837,18,35,53,0,0.144363,0.199961,,,,,,
landing_smooth_qd_manual_bd,Manual BD,3,63,0.437500,0.297425,0.181459,0.153877,9,39,56,0,0.110777,0.032322,0.343750,2.322268,53.000000,9.000000,1.207952,0.177083
random_descriptor_qd,Random,3,37,0.256945,0.277994,0.112776,0.077037,7,16,31,0,0.157441,0.380817,0.140625,1.268049,34.000000,7.000000,0.459542,0.046007
sr_raw_pca_qd,SR raw,3,49,0.340278,0.295832,0.147152,0.127593,16,23,44,0,0.259700,0.517675,0.182292,1.966392,44.000000,16.000000,1.115631,0.099827
guarded_sr_raw_pareto_qd,Guarded SR raw,3,41,0.284722,0.285091,0.141203,0.119673,10,23,37,0,0.152675,0.086378,0.182292,1.724608,37.000000,10.000000,0.350487,0.077257
sr_raw_conservative_exploit_qd,Conservative exploit,3,57,0.395833,0.351947,0.178862,0.144485,9,37,53,0,0.186562,0.159200,0.213542,2.876151,53.000000,9.000000,1.745997,0.120660
