run,parent_contract_class,fail_origin_children,valid_ppa_children,valid_ppa_rate
1001,compliant,478,23,0.0481171548117
1001,mismatch,218,10,0.045871559633
1001,undefined,141,3,0.0212765957447
1002,compliant,494,26,0.0526315789474
1002,mismatch,197,6,0.0304568527919
1002,undefined,130,5,0.0384615384615
