run,problem,generation,candidate_id,status,critic_score,contract_class,false_score_10,feedback_path
1001,Prob001_accu,0,94c21176-911e-41d9-bddb-2e0a19ea55e2,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample1_initial/code_feedback.txt
1001,Prob001_accu,0,6ec5c854-0c9b-4dcc-b81c-5529fa256afc,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample2_initial/code_feedback.txt
1001,Prob001_accu,0,5e956eae-f971-41c7-9906-84392993c175,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample3_initial/code_feedback.txt
1001,Prob001_accu,0,4472ce00-6945-40d0-b19d-46b9739e801f,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample4_initial/code_feedback.txt
1001,Prob001_accu,0,a3244b25-8190-4f1d-b1d6-f4698508af88,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample5_initial/code_feedback.txt
1001,Prob001_accu,0,b8a31e2b-77ce-4260-b6f0-5f9e4d7c88ee,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample6_initial/code_feedback.txt
1001,Prob001_accu,0,aadc0137-61a1-4aae-b126-d11566023e8d,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample7_initial/code_feedback.txt
1001,Prob001_accu,0,e2267d46-1d1c-484d-b5c5-853049848816,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample8_initial/code_feedback.txt
1001,Prob001_accu,1,24a7a615-b40d-409d-8553-e0517e9317d9,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample1_M-S/code_feedback.txt
1001,Prob001_accu,1,19c6d76d-8838-4bfc-96d7-7d1b3dec06e9,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample2_M-R/code_feedback.txt
1001,Prob001_accu,1,3a8fd652-a48a-4f82-96f7-2622e81b788e,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample3_M-E/code_feedback.txt
1001,Prob001_accu,1,34cc634d-a44a-46c6-92f8-d637aa65898a,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample4_C-F/code_feedback.txt
1001,Prob001_accu,1,508038fd-72bc-4157-a748-9d5448da439f,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample5_M-I/code_feedback.txt
1001,Prob001_accu,1,0a7385f7-b766-43e3-b8f7-2b32acb5720f,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample6_M-I/code_feedback.txt
1001,Prob001_accu,1,e6b9747a-8506-49a3-84e6-77c672987791,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample7_M-E/code_feedback.txt
1001,Prob001_accu,1,afb09308-e45b-4ec8-8991-f1bd6874cafd,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample8_M-S/code_feedback.txt
1001,Prob001_accu,2,2f7425a3-df44-4371-a174-ffa16f8620ae,failed_functionality,10,mismatch,1,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample1_M-R/code_feedback.txt
1001,Prob001_accu,2,845b35ed-3438-42c9-b77c-39ae333abd9f,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample2_M-I/code_feedback.txt
1001,Prob001_accu,2,4f66f75e-cd5b-43cf-957a-1225ededa24c,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample3_M-S/code_feedback.txt
1001,Prob001_accu,2,06925eba-50fc-4bab-9587-355bd928d0c0,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample4_M-R/code_feedback.txt
1001,Prob001_accu,2,cfa92704-fb14-4269-99e7-eaa23680f5e0,failed_syntax,0,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample5_M-E/code_feedback.txt
1001,Prob001_accu,2,cfe0c09d-96ce-4eeb-9282-81fb96570508,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample6_M-R/code_feedback.txt
1001,Prob001_accu,2,2fe45d66-d453-424b-8a08-389c92abefe4,success,10,compliant,0,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample7_M-R/code_feedback.txt
1001,Prob001_accu,2,53ccb3b8-ea7c-46fb-889e-cefd8949cf44,failed_functionality,10,mismatch,1,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample8_C-F/code_feedback.txt
1001,Prob001_accu,3,1f4bbea4-d26a-4ef2-add3-0acd65d3bdb6,failed_functionality,10,mismatch,1,openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample1_M-I/code_feedback.txt
