method,method_label,reference,reference_label,metric,value,reference_value,delta,relative_delta
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,valid_ppa_count,42.000000,66.000000,-24.000000,-0.363636
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,front_unique_family_count,9.000000,19.000000,-10.000000,-0.526316
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,front_unique_netlist_count,9.000000,21.000000,-12.000000,-0.571429
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,reference_beating_unique_family_count,23.000000,36.000000,-13.000000,-0.361111
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,valid_family_ratio,0.738095,0.833333,-0.095238,-0.114286
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,front_family_ratio,1.000000,0.791667,0.208333,0.263157
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,valid_ppa_count,42.000000,63.000000,-21.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,front_unique_family_count,9.000000,9.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,front_unique_netlist_count,9.000000,11.000000,-2.000000,-0.181818
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,reference_beating_unique_family_count,23.000000,39.000000,-16.000000,-0.410256
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,valid_family_ratio,0.738095,0.888889,-0.150794,-0.169643
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,front_family_ratio,1.000000,0.750000,0.250000,0.333333
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,valid_ppa_count,42.000000,37.000000,5.000000,0.135135
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,front_unique_family_count,9.000000,7.000000,2.000000,0.285714
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,front_unique_netlist_count,9.000000,7.000000,2.000000,0.285714
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,reference_beating_unique_family_count,23.000000,17.000000,6.000000,0.352941
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,valid_family_ratio,0.738095,0.864865,-0.126770,-0.146578
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,front_family_ratio,1.000000,1.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,valid_ppa_count,42.000000,49.000000,-7.000000,-0.142857
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,front_unique_family_count,9.000000,16.000000,-7.000000,-0.437500
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,front_unique_netlist_count,9.000000,16.000000,-7.000000,-0.437500
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,reference_beating_unique_family_count,23.000000,23.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,valid_family_ratio,0.738095,0.897959,-0.159864,-0.178030
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,front_family_ratio,1.000000,1.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,valid_ppa_count,42.000000,41.000000,1.000000,0.024390
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,front_unique_family_count,9.000000,10.000000,-1.000000,-0.100000
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,front_unique_netlist_count,9.000000,10.000000,-1.000000,-0.100000
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,reference_beating_unique_family_count,23.000000,23.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,valid_family_ratio,0.738095,0.902439,-0.164344,-0.182111
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,front_family_ratio,1.000000,1.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,sr_raw_conservative_exploit_qd,Conservative exploit,valid_ppa_count,42.000000,57.000000,-15.000000,-0.263158
sr_raw_front_recovery_qd,Front recovery,sr_raw_conservative_exploit_qd,Conservative exploit,front_unique_family_count,9.000000,9.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,sr_raw_conservative_exploit_qd,Conservative exploit,front_unique_netlist_count,9.000000,9.000000,0.000000,0.000000
sr_raw_front_recovery_qd,Front recovery,sr_raw_conservative_exploit_qd,Conservative exploit,reference_beating_unique_family_count,23.000000,37.000000,-14.000000,-0.378378
sr_raw_front_recovery_qd,Front recovery,sr_raw_conservative_exploit_qd,Conservative exploit,valid_family_ratio,0.738095,0.912281,-0.174186,-0.190935
sr_raw_front_recovery_qd,Front recovery,sr_raw_conservative_exploit_qd,Conservative exploit,front_family_ratio,1.000000,0.900000,0.100000,0.111111
