method,method_label,problem,valid_ppa_count,ppa_front_count,unique_rtl_count,unique_netlist_count,unique_family_count,front_unique_rtl_count,front_unique_netlist_count,front_unique_family_count,reference_beating_unique_family_count,netlist_duplicate_count,family_duplicate_count,front_family_duplicate_count,valid_family_ratio,front_family_ratio,front_netlist_ratio
classic_revolution,Classic,Prob045_alu,16,4,16,15,15,4,3,3,15,1,1,1,0.937500,0.750000,0.750000
classic_revolution,Classic,Prob041_traffic_light,30,6,28,24,23,5,4,4,20,6,7,2,0.766667,0.666667,0.666667
classic_revolution,Classic,Prob015_multi_pipe_8bit,20,14,20,20,17,14,14,12,1,0,3,2,0.850000,0.857143,1.000000
landing_smooth_qd_manual_bd,Manual BD,Prob045_alu,22,1,22,22,21,1,1,1,21,0,1,0,0.954545,1.000000,1.000000
landing_smooth_qd_manual_bd,Manual BD,Prob041_traffic_light,26,6,25,23,22,6,5,4,18,3,4,2,0.846154,0.666667,0.833333
landing_smooth_qd_manual_bd,Manual BD,Prob015_multi_pipe_8bit,15,5,15,15,13,5,5,4,0,0,2,1,0.866667,0.800000,1.000000
random_descriptor_qd,Random,Prob045_alu,14,1,14,13,13,1,1,1,13,1,1,0,0.928571,1.000000,1.000000
random_descriptor_qd,Random,Prob041_traffic_light,8,1,8,8,8,1,1,1,4,0,0,0,1.000000,1.000000,1.000000
random_descriptor_qd,Random,Prob015_multi_pipe_8bit,15,5,14,13,11,5,5,5,0,2,4,0,0.733333,1.000000,1.000000
sr_raw_pca_qd,SR raw,Prob045_alu,18,4,16,16,16,4,4,4,16,2,2,0,0.888889,1.000000,1.000000
sr_raw_pca_qd,SR raw,Prob041_traffic_light,12,2,12,12,11,2,2,2,7,0,1,0,0.916667,1.000000,1.000000
sr_raw_pca_qd,SR raw,Prob015_multi_pipe_8bit,19,10,19,19,17,10,10,10,0,0,2,0,0.894737,1.000000,1.000000
guarded_sr_raw_pareto_qd,Guarded SR raw,Prob045_alu,18,2,17,16,16,2,2,2,16,2,2,0,0.888889,1.000000,1.000000
guarded_sr_raw_pareto_qd,Guarded SR raw,Prob041_traffic_light,9,2,9,8,8,2,2,2,7,1,1,0,0.888889,1.000000,1.000000
guarded_sr_raw_pareto_qd,Guarded SR raw,Prob015_multi_pipe_8bit,14,6,14,14,13,6,6,6,0,0,1,0,0.928571,1.000000,1.000000
sr_raw_conservative_exploit_qd,Conservative exploit,Prob045_alu,23,1,23,22,22,1,1,1,22,1,1,0,0.956522,1.000000,1.000000
sr_raw_conservative_exploit_qd,Conservative exploit,Prob041_traffic_light,18,3,18,17,17,3,3,3,15,1,1,0,0.944444,1.000000,1.000000
sr_raw_conservative_exploit_qd,Conservative exploit,Prob015_multi_pipe_8bit,16,6,16,15,13,6,5,5,0,1,3,1,0.812500,0.833333,0.833333
sr_raw_front_recovery_qd,Front recovery,Prob045_alu,22,4,21,18,16,4,4,4,16,4,6,0,0.727273,1.000000,1.000000
sr_raw_front_recovery_qd,Front recovery,Prob041_traffic_light,14,3,14,10,9,3,3,3,7,4,5,0,0.642857,1.000000,1.000000
sr_raw_front_recovery_qd,Front recovery,Prob015_multi_pipe_8bit,6,2,6,6,6,2,2,2,0,0,0,0,1.000000,1.000000,1.000000
