method,method_label,problem_count,valid_ppa_count,ppa_front_count,unique_family_count,front_unique_family_count,front_unique_netlist_count,reference_beating_unique_family_count,valid_family_ratio,front_family_ratio,front_netlist_ratio
classic_revolution,Classic,3,66,24,55,19,21,36,0.833333,0.791667,0.875000
landing_smooth_qd_manual_bd,Manual BD,3,63,12,56,9,11,39,0.888889,0.750000,0.916667
random_descriptor_qd,Random,3,37,7,32,7,7,17,0.864865,1.000000,1.000000
sr_raw_pca_qd,SR raw,3,49,16,44,16,16,23,0.897959,1.000000,1.000000
guarded_sr_raw_pareto_qd,Guarded SR raw,3,41,10,37,10,10,23,0.902439,1.000000,1.000000
sr_raw_conservative_exploit_qd,Conservative exploit,3,57,10,52,9,9,37,0.912281,0.900000,0.900000
sr_raw_front_recovery_qd,Front recovery,3,42,9,31,9,9,23,0.738095,1.000000,1.000000
