method,method_label,problem_count,valid_ppa_count,final_best_problem_count,mean_valid_ppa_rate,mean_final_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc
classic_revolution,Classic,3,66,3,0.458333,0.341634,0.160241,0.122837,18,35,53,,,,
landing_smooth_qd_manual_bd,Manual BD,3,63,3,0.437500,0.297425,0.181459,0.153877,9,39,56,53.000000,9.000000,1.207952,0.177083
random_descriptor_qd,Random,3,37,3,0.256945,0.277994,0.112776,0.077037,7,16,31,34.000000,7.000000,0.459542,0.046007
sr_raw_pca_qd,SR raw,3,49,3,0.340278,0.295832,0.147152,0.127593,16,23,44,44.000000,16.000000,1.115631,0.099827
guarded_sr_raw_pareto_qd,Guarded SR raw,3,41,3,0.284722,0.285091,0.141203,0.119673,10,23,37,37.000000,10.000000,0.350487,0.077257
sr_raw_conservative_exploit_qd,Conservative exploit,3,57,3,0.395833,0.351947,0.178862,0.144485,9,37,53,53.000000,9.000000,1.745997,0.120660
sr_raw_front_recovery_qd,Front recovery,3,42,2,0.291667,0.398946,0.139295,0.118396,8,22,30,24.000000,8.000000,0.949776,0.050347
