method,method_label,source_run_root,mode
classic_revolution,Classic,exp/useful_bd_push/t24_sr_pareto_live_validation_20260621_184346_UTC,classic_revolution/seed_1001/openai_gpt-oss-120b
landing_smooth_qd_manual_bd,Manual BD,exp/useful_bd_push/t24_sr_pareto_live_validation_20260621_184346_UTC,landing_smooth_qd_manual_bd/seed_1001/openai_gpt-oss-120b
random_descriptor_qd,Random,exp/useful_bd_push/t24_sr_pareto_live_validation_20260621_184346_UTC,random_descriptor_qd/seed_1001/openai_gpt-oss-120b
sr_raw_pca_qd,SR raw,exp/useful_bd_push/t24_sr_pareto_live_validation_20260621_184346_UTC,sr_raw_pca_qd/seed_1001/openai_gpt-oss-120b
guarded_sr_raw_pareto_qd,Guarded SR raw,exp/useful_bd_push/t25_guarded_sr_raw_pareto_qd_20260621_210402_UTC,guarded_sr_raw_pareto_qd/seed_1001/openai_gpt-oss-120b
sr_raw_conservative_exploit_qd,Conservative exploit,exp/useful_bd_push/t26_sr_raw_conservative_exploit_qd_20260621_213249_UTC,sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b
sr_raw_front_recovery_qd,Front recovery,exp/useful_bd_push/t29_sr_raw_front_recovery_qd_20260621_225827_UTC,sr_raw_front_recovery_qd/seed_1001/openai_gpt-oss-120b
