arm,problem,candidates,successes,failures,synthesis_ppa_rate,best_score,descriptor_profile,global_pareto_size,archive_history_length,archive_initialized,run_seconds
classic_revolution_1x0,Prob045_alu,1,0,1,0.0,,,,,,29.49
code_thought_sr_front_slot_1x0,Prob045_alu,1,0,1,0.0,,sr_pca_3d,0,1,False,32.43
masterrtl_structural_mix_1x0,Prob045_alu,1,1,0,1.0,0.38161968591891715,source_aligned_masterrtl_structural_mix_3d,1,1,False,37.03
