backend,summary_file,problem_rows,success_rows,ppa_file_count
classic_revolution_8x5,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/20260625_134914_revolution_summary_results.txt,8,8,191
code_thought_sr_front_slot_8x5,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/code_thought_sr_front_slot_8x5/seed_1001/openai_gpt-oss-120b/20260625_141104_revolution_summary_results.txt,8,8,168
masterrtl_structural_mix_8x5,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/masterrtl_structural_mix_8x5/seed_1001/openai_gpt-oss-120b/20260625_144109_revolution_summary_results.txt,8,8,181
