profile,axes,requires_ppa,requires_synthesis,requires_formal,requires_rtl_metrics,requires_dynamic_metrics,requires_graph_metrics,requires_source_aligned_rtl,requires_auto_bd_hash,requires_auto_bd_motif,requires_auto_bd_stage_dumps,requires_auto_bd_sr_pca,requires_auto_bd_sr_vq
source_aligned_masterrtl_structural_mix_3d,source_aligned_masterrtl_seq_fraction;source_aligned_masterrtl_mux_fraction;source_aligned_masterrtl_xor_fraction,false,false,false,false,false,false,true,false,false,false,false,false
source_aligned_shape_density_3d,source_aligned_masterrtl_branching;source_aligned_rtltimer_wire_density;source_aligned_rtltimer_dff_density,false,false,false,false,false,false,true,false,false,false,false,false
sr_pca_3d,sr_pca_0;sr_pca_1;sr_pca_2,false,true,false,false,false,false,false,false,false,false,true,false
t11_runtime_pca4_graph,t11_runtime_pca_0;t11_runtime_pca_1;t11_runtime_pca_2;t11_runtime_pca_3,false,false,false,false,false,true,false,false,false,false,false,false
